forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-05 18:00:00,1,305.1,9999e17,9999e17,9999e17,10.3,1.6899999,0.04,0.00339,90905.016,9999e17
2020-05-06 00:00:00,1,306.6,347,876,0,8,1.8,3.06,0.00288,90594.15,0
2020-05-06 06:00:00,1,294.9,322,72,0,15.6,-2.98,-0.45,0.0028,90781.266,0
2020-05-06 12:00:00,1,292.2,300,0,0,18.300001,-3.37,-2.6399999,0.0028,90726.24,0
2020-05-06 18:00:00,1,305.4,307,477,0,8.1,3.9299998,-0.099999994,0.0027299998,90774.96,4
2020-05-07 00:00:00,1,307.5,334,891,0,5.1,2.47,4.12,0.00194,90451.75,38
2020-05-07 06:00:00,1,294.5,311,73,0,9.8,-2.9299998,-0.34,0.00171,90578.7,43
2020-05-07 12:00:00,1,292.5,293,0,0,10.5,-3.4099998,-2.5,0.00162,90505.02,27
2020-05-07 18:00:00,1,304.9,305,476,0,6.6,3.56,0.7,0.0021499998,90651.664,36
2020-05-08 00:00:00,1,306.80002,336,884,0,7.2000003,2.83,5.49,0.0026099999,90306.21,36
2020-05-08 06:00:00,1,292.9,325,73,0,21.5,-1.3199999,0.39,0.00345,90493.06,22
2020-05-08 12:00:00,1,289.5,301,0,0,22.6,-0.59,-1.8399999,0.00291,90511.83,31
2020-05-08 18:00:00,1,303,307,469,0,12.2,3.6799998,0.14,0.0036,90740.67,37
2020-05-09 00:00:00,1,305.30002,344,871,0,11.900001,3.02,4.11,0.00398,90463.984,26
2020-05-09 06:00:00,1,292.80002,333,72,0,30,-1.24,0.84999996,0.00472,90647.305,2
2020-05-09 12:00:00,1,290,316,0,0,33.4,1.17,-1.54,0.0044199997,90729.8,1
2020-05-09 18:00:00,1,302.1,323,460,0,16.800001,3.1899998,0.84,0.00464,90909.49,0
2020-05-10 00:00:00,1,304.6,358,857,0,16.6,2.1,4.19,0.0053399997,90546.4,11
2020-05-10 06:00:00,1,293.30002,340,71,0,32.4,-1.68,0.51,0.00527,90686.625,29
2020-05-10 12:00:00,1,289.4,322,0,0,41,0.41,-0.97999996,0.00523,90687.37,58
2020-05-10 18:00:00,1,301.1,334,429,1e-6,19.6,2.79,1.14,0.00513,90840.73,73
2020-05-11 00:00:00,1,303.2,373,801,0,19.800001,4.11,1.0799999,0.00586,90450.85,48
2020-05-11 06:00:00,1,293.2,345,66,1.4e-5,37.600002,0.32999998,2.36,0.00598,90579.39,19
2020-05-11 12:00:00,1,288.30002,312,0,0,35.5,1.42,-1.25,0.0042,90573.02,25
2020-05-11 18:00:00,1,299.6,305,473,0,14.2,4.92,1.01,0.0033999998,90673.77,9
2020-05-12 00:00:00,1,301.4,319,886,0,10.400001,5.18,3.87,0.0027599998,90340.45,0
2020-05-12 06:00:00,1,288.4,302,76,0,26.6,1.29,0.58,0.00318,90533.49,0
2020-05-12 12:00:00,1,284.9,280,0,0,29.7,1.24,-1.5899999,0.0028199998,90524.25,0
2020-05-12 18:00:00,1,297.30002,288,477,0,19,5.38,-0.17999999,0.00398,90635.58,0
2020-05-13 00:00:00,1,299.80002,324,876,0,16.7,5.56,4.3199997,0.00403,90351.99,0
2020-05-13 06:00:00,1,287.1,302,76,0,30.300001,0.02,0.84999996,0.00333,90489.62,0
2020-05-13 12:00:00,1,284.80002,282,0,0,36.3,1.89,-1.16,0.00345,90464.89,0
2020-05-13 18:00:00,1,296.80002,291,477,0,21.9,5.2999997,1.5,0.00441,90601.414,0
2020-05-14 00:00:00,1,299.1,317,882,0,14.900001,4.2599998,3.1799998,0.00344,90502.26,0
2020-05-14 06:00:00,1,288.2,299,77,0,29.7,-0.32999998,1.12,0.0034699999,90701.17,13
2020-05-14 12:00:00,1,285.1,285,0,0,35.9,-0.17999999,-0.96999997,0.00344,90717.94,30
2020-05-14 18:00:00,1,297.80002,292,481,0,14.7,2.57,1.27,0.00315,90844.836,0
2020-05-15 00:00:00,1,300.6,319,888,0,12.2,2.4099998,3,0.00309,90606.49,0
2020-05-15 06:00:00,1,289.4,305,78,0,33.5,-0.29999998,0.049999997,0.0042499998,90765.8,0
2020-05-15 12:00:00,1,288.1,292,0,0,27.9,-1.42,-1.9499999,0.0032499998000000002,90726.94,10
2020-05-15 18:00:00,1,299.9,309,442,0,13.7,3.21,1.0799999,0.00333,90787.75,65
2020-05-16 00:00:00,1,300.78,353,728,0,11.8,2.9099998,2.6,0.0030099999,90521.766,86
2020-05-16 06:00:00,1,289.80002,319,51,0,29.4,0.26,0.48,0.0038299998,90634.734,36
2020-05-16 12:00:00,1,286.80002,297,0,0,37.3,0.42999998,-0.83,0.00401,90543.62,1
2020-05-16 18:00:00,1,299.5,307,471,0,16.6,4.8599997,0.89,0.00395,90642.58,28
2020-05-17 00:00:00,1,301.4,330,870,0,13.400001,5.72,4.02,0.0035599999,90309.69,42
2020-05-17 06:00:00,1,291.2,311,77,0,22.7,2.47,1.02,0.0032199998,90495.586,18
2020-05-17 12:00:00,1,287.1,292,0,0,34.600002,2.6,-0.95,0.00379,90464.016,2
2020-05-17 18:00:00,1,296.7,299,478,0,24,5.95,2.33,0.00483,90620.79,0
2020-05-18 00:00:00,1,298.80002,322,882,0,16.2,4.2799997,4.02,0.00369,90427.805,0
2020-05-18 06:00:00,1,287.7,299,80,0,32.8,-0.049999997,0.98999995,0.00373,90660.84,0
2020-05-18 12:00:00,1,285.9,282,0,0,32.600002,-0.76,-2.05,0.00327,90617.39,0
2020-05-18 18:00:00,1,298.1,291,488,0,13.3,3.02,-0.04,0.0029,90732.94,0
2020-05-19 00:00:00,1,301.2,320,893,0,11.1,3.6699998,1.99,0.0029199999,90468.77,0
2020-05-19 06:00:00,1,290,310,81,0,31.300001,0.7,0.14,0.0041799997,90648.83,0
2020-05-19 12:00:00,1,287.30002,298,0,0,33.9,0.88,-1.2099999,0.0037699998,90609.586,0
2020-05-19 18:00:00,1,300.1,302,487,0,14.3,5.41,-0.42999998,0.0035199998,90708.35,0
2020-05-20 00:00:00,1,302.6,325,893,0,9.900001,6.3799996,2.69,0.00281,90417.664,3
2020-05-20 06:00:00,1,291.2,308,82,0,23.4,2.44,0.64,0.00332,90567.93,12
2020-05-20 12:00:00,1,287,284,0,0,25,1.73,-2.34,0.00271,90428.9,4
2020-05-20 18:00:00,1,296.80002,292,487,0,19,7.3399997,1.86,0.0038599998,90368.766,0
2020-05-21 00:00:00,1,296.05,308,891,0,19.800001,6.48,7.02,0.00384,90046.5,0
2020-05-21 06:00:00,1,287,294,81,3e-6,35.4,0.7,3.29,0.00384,90242.56,4
2020-05-21 12:00:00,1,281.4,270,0,0,54.5,0.55,0.44,0.00408,90427.33,1
2020-05-21 18:00:00,1,291.9,276,487,0,25.1,2.8,1.87,0.00375,90583.1,1
2020-05-05 18:00:00,2,305.2,9999e17,9999e17,9999e17,11.1,1.56,0.19999999,0.0037099998,90877.81,9999e17
2020-05-06 00:00:00,2,306.80002,351,873,0,8.6,1.9699999,2.97,0.00312,90603.24,0
2020-05-06 06:00:00,2,295.30002,325,72,0,16.1,-3.1499999,-0.57,0.00297,90774.47,0
2020-05-06 12:00:00,2,292.30002,301,0,0,19.1,-3.36,-2.6599998,0.00294,90736.75,0
2020-05-06 18:00:00,2,305.6,309,476,0,8.5,3.76,-0.099999994,0.00287,90767.85,3
2020-05-07 00:00:00,2,307.80002,336,891,0,5.2000003,2.59,4.21,0.00199,90468.4,35
2020-05-07 06:00:00,2,295.30002,312,73,0,9.7,-3.4299998,-0.42,0.00179,90595.85,38
2020-05-07 12:00:00,2,292.5,295,0,0,11.1,-3.61,-2.4199998,0.0017299999,90512.82,25
2020-05-07 18:00:00,2,305.2,305,477,0,6.4,3.4399998,0.89,0.00214,90642.266,27
2020-05-08 00:00:00,2,307,336,886,0,7,2.6499999,5.6299996,0.0025499999,90312.555,34
2020-05-08 06:00:00,2,293.4,323,73,0,17.9,-2.01,0.25,0.0029499999,90506.625,28
2020-05-08 12:00:00,2,289.80002,295,0,0,18.800001,-1.2099999,-1.9399999,0.00248,90530.1,22
2020-05-08 18:00:00,2,302.9,302,474,0,11.2,3.07,0.049999997,0.00327,90773.1,18
2020-05-09 00:00:00,2,305.6,338,878,0,9.3,2.48,4.17,0.00318,90497.13,19
2020-05-09 06:00:00,2,292.9,329,73,0,26.2,-1.1999999,0.83,0.0041799997,90669.11,0
2020-05-09 12:00:00,2,291.30002,312,0,0,22.9,-1.5999999,-2.78,0.0033,90701.64,1
2020-05-09 18:00:00,2,302.4,322,462,0,17.2,3.7099998,-0.099999994,0.0048499997,90939.12,0
2020-05-10 00:00:00,2,305.1,357,857,0,14.2,2.19,4.23,0.0046699997,90571.68,25
2020-05-10 06:00:00,2,294.4,338,71,0,28.7,-2.53,-0.35999998,0.005,90694.12,32
2020-05-10 12:00:00,2,292.2,323,0,0,32.100002,-2.56,-2.25,0.00488,90647.305,38
2020-05-10 18:00:00,2,302.9,335,447,3e-6,17.9,2.57,1.67,0.0052,90842.27,53
2020-05-11 00:00:00,2,304.5,365,843,0,16.800001,4.37,5.37,0.00537,90529.875,36
2020-05-11 06:00:00,2,293.1,342,70,7e-6,38.600002,-0.5,1.13,0.00615,90733.07,44
2020-05-11 12:00:00,2,289.9,327,0,1.3e-5,45.100002,0.53999996,-1.52,0.00591,90720.06,56
2020-05-11 18:00:00,2,302.2,325,465,0,17.4,4.87,0.29999998,0.00481,90825.664,1
2020-05-12 00:00:00,2,303.6,338,877,0,9.2,3.6,4.11,0.0027899998,90512.64,2
2020-05-12 06:00:00,2,290.30002,308,76,0,21,-0.94,0.78999996,0.0027899998,90612.93,2
2020-05-12 12:00:00,2,287.2,293,0,0,23.4,0.89,-1.4,0.0025799999,90588.19,0
2020-05-12 18:00:00,2,300.9,296,482,0,10.400001,5.65,0.16,0.00269,90619.75,15
2020-05-13 00:00:00,2,302.5,317,896,0,9,4.5099998,4.11,0.00256,90303.266,19
2020-05-13 06:00:00,2,288.9,303,78,0,25,0.42,0.58,0.00308,90450.7,17
2020-05-13 12:00:00,2,286.7,289,0,0,29,1.31,-1.66,0.00312,90413.45,0
2020-05-13 18:00:00,2,299.30002,298,479,0,14.900001,4.94,0.03,0.0035199998,90492.375,0
2020-05-14 00:00:00,2,301.4,321,888,0,12.400001,4.29,2.6399999,0.0032799998,90373.99,0
2020-05-14 06:00:00,2,290.80002,313,77,0,30.5,1.03,0.75,0.00422,90510.83,0
