forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-14 12:00:00,1,291.30002,9999e17,9999e17,9999e17,78.9,2.9399998,-1.89,0.010249999,100588.52,9999e17
2020-05-14 18:00:00,1,302.12,353,711,0,36.4,3.56,-2.35,0.009149999,100366.99,5
2020-05-15 00:00:00,1,298.41,375,618,0,53.3,1.49,-1.52,0.01074,100028.625,26
2020-05-15 06:00:00,1,291.2,367,3,0,77.200005,1.9399999,-0.52,0.010009999,100165.45,63
2020-05-15 12:00:00,1,290.5,348,12,0,86.4,1.88,-1.8399999,0.01067,100257,67
2020-05-15 18:00:00,1,302.1,361,703,0,41.7,2.87,-0.7,0.01045,100093.71,6
2020-05-16 00:00:00,1,299.1,380,631,0,61.7,0.68,-0.96999997,0.013049999,99813.02,2
2020-05-16 06:00:00,1,291,354,4,0,68.200005,1.5699999,-0.85999995,0.00875,99857.8,57
2020-05-16 12:00:00,1,291,348,11,0,86.8,1.1999999,-1.25,0.01117,99918.516,90
2020-05-16 18:00:00,1,306.1,375,687,2e-6,39.100002,0.38,-0.12,0.01242,99917.81,40
2020-05-17 00:00:00,1,300.30002,412,443,0,78.3,0.35,0.29999998,0.01778,99669.586,45
2020-05-17 06:00:00,1,294.1,366,4,0,66.200005,-0.5,-1.9599999,0.0102699995,99797.29,1
2020-05-17 12:00:00,1,292.1,348,15,0,77.3,0.96,-1.05,0.01062,99830.18,0
2020-05-17 18:00:00,1,305.4,373,706,0,35.2,1.11,1.3199999,0.01072,99827.85,18
2020-05-18 00:00:00,1,300.6,421,449,0,66.9,0.87,0.45,0.01548,99557.586,57
2020-05-18 06:00:00,1,296,405,2,0,59.600002,2.55,0.84999996,0.01046,99507.805,63
2020-05-18 12:00:00,1,292.4,361,14,0,86.6,-0.19,1.76,0.01217,99496.4,38
2020-05-18 18:00:00,1,301.9,381,661,0,48.8,-1.26,3.6999998,0.012139999,99414.56,41
2020-05-19 00:00:00,1,292.4,381,580,1.36e-4,92.700005,-1.63,1.91,0.01303,99420.99,41
2020-05-19 06:00:00,1,286.80002,330,4,8e-6,94.8,-2.03,0.77,0.00928,99437.164,8
2020-05-19 12:00:00,1,285.4,301,15,0,97.3,-1.76,0.56,0.008719999,99471.49,2
2020-05-19 18:00:00,1,296.6,320,724,0,45.9,-2.6599998,1.88,0.00837,99348.914,6
2020-05-20 00:00:00,1,292.80002,349,614,0,60.9,-3.9099998,0.37,0.008789999,99272.14,21
2020-05-20 06:00:00,1,285.5,312,4,0,93.5,-1.67,0.84999996,0.008429999,99314.01,0
2020-05-20 12:00:00,1,286.2,308,15,0,94.4,-1.6899999,0.26,0.00894,99304.266,1
2020-05-20 18:00:00,1,296.30002,345,642,1.3e-5,54.600002,-2.36,1.23,0.009769999,99223.31,25
