forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-15 18:00:00,1,285.4,9999e17,9999e17,9999e17,56.4,1.5899999,2.6299999,0.00635,79298.35,9999e17
2020-05-16 00:00:00,1,287.1,309,796,1e-6,55.7,-0.11,4.33,0.0069999998,79241.54,40
2020-05-16 06:00:00,1,279.4,281,107,0,82.1,-0.78,-1.22,0.00618,79258.15,15
2020-05-16 12:00:00,1,278.7,267,0,0,68.9,0.26999998,-2.1599998,0.00493,79171.65,44
2020-05-16 18:00:00,1,288.2,278,362,0,41.5,2.3,2.6699998,0.0056,79255.65,63
2020-05-17 00:00:00,1,289.6,286,899,0,32.9,0.52,4.94,0.00487,79117.945,40
2020-05-17 06:00:00,1,278.80002,259,124,0,52.7,0.17,1.54,0.00379,79109.94,48
2020-05-17 12:00:00,1,277.7,249,0,0,51.4,1.39,0.26999998,0.00341,78977.2,69
2020-05-17 18:00:00,1,287.4,253,406,0,28.9,4.9,3.52,0.0037399998,79097.54,69
2020-05-18 00:00:00,1,286.9,277,882,0,37,6.04,3.3799999,0.00462,79014.336,69
2020-05-18 06:00:00,1,279.5,271,114,0,73.200005,4.23,0.35,0.0055199997,79089.6,45
2020-05-18 12:00:00,1,277.5,263,0,0,87.5,3.8899999,0.7,0.00579,78919.43,24
2020-05-18 18:00:00,1,283.6,258,401,0,46.600002,7.87,3.51,0.00468,78957.29,51
2020-05-19 00:00:00,1,282,252,924,0,45,7.19,3.6699998,0.0040599997,78864.51,9
2020-05-19 06:00:00,1,273,234,128,0,81.200005,1.9799999,0.48,0.0038899998,78885.27,5
2020-05-19 12:00:00,1,271,212,0,0,58.4,0.53999996,0.38,0.00242,78704.55,3
2020-05-19 18:00:00,1,278.30002,211,416,0,34.4,1.42,5.67,0.00241,78831.46,13
2020-05-20 00:00:00,1,279.1,233,927,8e-6,46.5,0.39,6.0699997,0.00341,78890.62,17
2020-05-20 06:00:00,1,272.2,238,116,6e-6,83.9,-1.22,0.35,0.0037699998,79092.85,23
2020-05-20 12:00:00,1,271.2,220,0,0,84.4,-0.7,-0.45999998,0.0035199998,79101.54,4
2020-05-20 18:00:00,1,282.2,227,427,0,39.7,1.9,3.04,0.00361,79304.73,1
2020-05-21 00:00:00,1,284.1,253,932,0,45.3,0.32,4.7,0.00466,79210.06,1
2020-05-21 06:00:00,1,275.5,247,129,0,75.3,-0.79999995,-1.86,0.0042999997,79226.88,7
2020-05-21 12:00:00,1,275.2,256,0,0,70,-0.31,-1.93,0.00393,79058.46,54
2020-05-21 18:00:00,1,284.9,258,399,0,40.7,1.7099999,2.54,0.00447,79108.586,40
2020-05-22 00:00:00,1,286,275,906,9e-6,44.3,-0.59,4.63,0.00517,78994.53,15
2020-05-22 06:00:00,1,279.1,269,123,1.1e-5,69.700005,-2.1299999,-2.1399999,0.00511,79055.75,30
2020-05-22 12:00:00,1,277.30002,254,0,0,67,-1.01,-2.25,0.0043699997,78989.6,0
2020-05-22 18:00:00,1,287.6,260,421,0,40.600002,1.52,1.9399999,0.00529,79128.45,0
2020-05-23 00:00:00,1,288.9,285,916,9e-6,42.100002,0.28,4.08,0.00598,79084.53,17
2020-05-23 06:00:00,1,282.2,286,114,1.8e-5,63.2,-1.02,-2.45,0.00575,79181.125,83
2020-05-23 12:00:00,1,280.80002,268,0,2.7e-5,53.4,-1.42,-3.4299998,0.00439,79169.086,36
2020-05-23 18:00:00,1,289.80002,269,419,0,34.9,1.63,2.1699998,0.00523,79337.74,1
2020-05-24 00:00:00,1,292.6,296,910,2.5e-5,31.5,0.95,3.49,0.00539,80649.516,40
2020-05-24 06:00:00,1,282.5,292,112,0,65.700005,-1.09,-0.78999996,0.0059599997,80820.93,45
2020-05-24 12:00:00,1,280.6,272,0,0,69.8,-0.75,-1.14,0.0055899997,80748.16,1
2020-05-24 18:00:00,1,292.5,279,419,0,33.3,1.12,2.1,0.0057699997,80835.78,5
2020-05-25 00:00:00,1,294.56,303,919,0,28.800001,1.03,4.35,0.0056399996,80702.77,2
2020-05-25 06:00:00,1,283,286,131,0,57.3,-1.01,0.21,0.00536,80776.336,15
2020-05-25 12:00:00,1,279.9,264,0,0,65.5,-0.75,0.96,0.0049799997,80615.17,24
2020-05-25 18:00:00,1,291.6,271,388,0,23.4,0.76,4.2599998,0.0038299998,80655.99,60
2020-05-26 00:00:00,1,293.30002,281,934,0,22.6,0.76,5.04,0.0040599997,80525.37,13
2020-05-26 06:00:00,1,282,268,135,0,51.7,-1.92,-0.089999996,0.00451,80594.055,0
2020-05-26 12:00:00,1,279,249,0,0,59.3,-1.51,-0.51,0.00427,80427.15,28
2020-05-26 18:00:00,1,290.4,248,434,0,21,0.87,3.6599998,0.00318,80431.15,15
2020-05-27 00:00:00,1,291.5,273,938,0,23.1,0.38,5.48,0.00376,80222.79,14
2020-05-27 06:00:00,1,280.5,259,136,0,51,-2.1599998,-0.25,0.00403,80246.58,6
2020-05-27 12:00:00,1,278.7,243,0,0,45.600002,-2.69,-3.09,0.0032,80106.93,0
2020-05-27 18:00:00,1,288.5,244,433,0,21.7,-2.3799999,-1.11,0.00293,80283.99,1
2020-05-28 00:00:00,1,291,268,941,0,17.300001,-1.92,1.62,0.00275,80359.39,1
2020-05-28 06:00:00,1,281.9,259,137,0,35.2,-2.6299999,-3.04,0.0030099999,80607.65,0
2020-05-28 12:00:00,1,280.2,248,0,0,39.4,-2.46,-3.1,0.00299,80618.14,0
2020-05-28 18:00:00,1,290.6,258,429,0,24.5,0.38,0.78999996,0.0037099998,80766.89,0
2020-05-29 00:00:00,1,292.9,290,920,0,23.4,0.77,3.78,0.0041199997,80741.805,8
2020-05-29 06:00:00,1,282,293,120,0,49.4,-0.59999996,0.44,0.00432,80884.87,26
2020-05-29 12:00:00,1,280,270,0,0,58,-0.29999998,-0.29,0.00439,80748.33,29
2020-05-29 18:00:00,1,291.5,289,378,0,28.300001,1.48,2.25,0.0046099997,80753.14,54
2020-05-30 00:00:00,1,293.7,296,917,0,25.2,1.06,4.4,0.0046699997,80559.336,33
2020-05-30 06:00:00,1,282.30002,281,134,0,51.600002,-0.79999995,1.16,0.00459,80539.45,16
2020-05-30 12:00:00,1,279.4,265,0,0,67.8,-0.71999997,0.5,0.00501,80272.99,3
2020-05-30 18:00:00,1,291.5,268,428,0,30.6,1.8299999,2.77,0.0050299997,80232.15,5
2020-05-31 00:00:00,1,293.30002,291,924,0,25.4,1.4699999,4.45,0.00465,80100.24,21
2020-05-31 06:00:00,1,282.1,277,137,0,51.3,-1.11,0.08,0.00456,80235.055,21
2020-05-31 12:00:00,1,280.80002,266,0,0,58.100002,-1.4499999,-0.88,0.00475,80169.1,14
2020-05-31 18:00:00,1,292.5,276,425,0,29.2,1.39,1.4399999,0.0050999997,80333.25,13
2020-05-15 18:00:00,2,285.6,9999e17,9999e17,9999e17,57.4,1.5999999,2.62,0.00653,79305.23,9999e17
2020-05-16 00:00:00,2,287,314,765,2e-6,57,0.12,4.5,0.0071099997,79229.016,44
2020-05-16 06:00:00,2,279.6,284,106,0,83.4,-1.0799999,-1.27,0.0063199997,79256.63,21
2020-05-16 12:00:00,2,278.2,266,0,0,76.700005,0.5,-1.9599999,0.0053,79174.24,39
2020-05-16 18:00:00,2,288.2,275,365,0,40.3,2.31,2.85,0.0054599997,79262.27,64
2020-05-17 00:00:00,2,289.4,282,909,0,32.600002,0.58,4.95,0.00476,79112.055,40
2020-05-17 06:00:00,2,278.5,257,124,0,49.8,0.38,1.86,0.00351,79112.83,50
2020-05-17 12:00:00,2,277.7,246,0,0,50,1.5899999,0.099999994,0.00335,78977.79,61
2020-05-17 18:00:00,2,286.9,254,407,0,32.5,5.23,3.6499999,0.00405,79083.055,62
2020-05-18 00:00:00,2,286.5,271,911,0,40.8,6.83,3.9099998,0.00494,79003.41,18
2020-05-18 06:00:00,2,280.1,309,108,4e-5,82.200005,6.18,1.51,0.00648,79082.97,68
2020-05-18 12:00:00,2,276.1,275,0,5e-6,88.4,4.12,0.82,0.00527,78905.52,50
2020-05-18 18:00:00,2,282,246,385,0,37,6.04,3.6999998,0.00335,78963.46,71
2020-05-19 00:00:00,2,281.6,243,918,0,32.5,3.47,4.5499997,0.00286,78881.02,22
