forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-07 00:00:00,1,289.6,9999e17,9999e17,9999e17,47.5,1.01,3.03,0.00695,79662.96,9999e17
2020-05-07 06:00:00,1,282.9,264,116,0,39.7,-2.3999999,-4.4,0.00376,79627.6,9
2020-05-07 12:00:00,1,280.9,243,0,0,27.300001,-2.23,-4.67,0.00223,79503.14,0
2020-05-07 18:00:00,1,290.80002,241,414,0,21.6,1.87,0.31,0.00345,79543.1,4
2020-05-08 00:00:00,1,292.30002,277,917,0,26.800001,0.68,3.1499999,0.0047,79440.85,37
2020-05-08 06:00:00,1,283.9,274,114,0,40.5,-0.66999996,-3.09,0.00411,79443.31,29
2020-05-08 12:00:00,1,282.7,266,0,0,36.3,-0.77,-3.3,0.0033999998,79323.79,50
2020-05-08 18:00:00,1,292.2,265,405,0,24.800001,2.8,1.65,0.00433,79416.03,15
2020-05-09 00:00:00,1,292.80002,287,910,0,27.2,0.93,3.56,0.00493,79319.77,18
2020-05-09 06:00:00,1,283.5,275,115,1e-6,53.9,-1.31,-2.03,0.0053,79400.86,43
2020-05-09 12:00:00,1,281.30002,270,0,0,49.7,-1.04,-1.9,0.0042,79276.77,82
2020-05-09 18:00:00,1,291.9,271,385,0,26.1,2.05,1.9399999,0.00446,79396.055,74
2020-05-10 00:00:00,1,292.1,285,910,0,25.9,1.3299999,3.3899999,0.0044799997,79267.125,36
2020-05-10 06:00:00,1,280.80002,259,120,0,48.5,-0.85999995,-1.01,0.00398,79280.89,40
2020-05-10 12:00:00,1,277.4,242,0,0,42.100002,0.21,-0.38,0.00274,79103.18,53
2020-05-10 18:00:00,1,290.1,245,407,0,18.1,3.1899998,2.08,0.0027899998,79175.35,48
2020-05-11 00:00:00,1,289.4,266,916,0,21.9,2.81,3.4299998,0.0032,79081.14,51
2020-05-11 06:00:00,1,277.7,241,120,0,28.6,1.09,-0.59999996,0.00189,79094.89,34
2020-05-11 12:00:00,1,275.9,229,0,0,31.800001,1.68,-0.48999998,0.0018600000000000001,78927.695,7
2020-05-11 18:00:00,1,286.1,231,408,0,18.7,3.98,3.05,0.0022099998,78997.93,29
