forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-10 06:00:00,1,281.80002,9999e17,9999e17,9999e17,68.200005,-1.8399999,-0.63,0.00468,101496.37,9999e17
2020-05-10 12:00:00,1,281,265,11,0,63,-1.04,-1.22,0.0041199997,101570.766,78
2020-05-10 18:00:00,1,297,290,729,0,22.7,-2.21,0.47,0.00414,101476.32,1
2020-05-11 00:00:00,1,292.80002,312,670,0,49.5,-1.8299999,-0.06,0.00701,101243.055,0
2020-05-11 06:00:00,1,285,297,4,0,70.5,-1.9499999,0.64,0.00604,101488.7,0
2020-05-11 12:00:00,1,283.9,294,11,0,75.3,-3.02,-0.58,0.00599,101646.06,0
2020-05-11 18:00:00,1,294.5,296,720,0,32,-3.21,0.26,0.005,101598.96,0
2020-05-12 00:00:00,1,291.80002,309,666,0,44.9,-2.12,-0.78,0.00593,101422.21,0
2020-05-12 06:00:00,1,282.80002,291,4,0,64.6,-1.1999999,-1.31,0.00475,101533.64,11
2020-05-12 12:00:00,1,283.1,289,10,0,67.700005,-0.64,-1.63,0.0050899996,101549.79,64
2020-05-12 18:00:00,1,297.91998,311,693,0,27.300001,0.97999996,-1.61,0.0052799997,101516.31,50
2020-05-13 00:00:00,1,294.93,340,629,0,51.8,1.25,-1.16,0.00838,101158.02,68
2020-05-13 06:00:00,1,286.84,320,3,0,82.5,1.9499999,0.32999998,0.00796,101274.18,62
2020-05-13 12:00:00,1,286.5,304,11,0,87.8,0.38,-1.8399999,0.008289999,101413.086,1
2020-05-13 18:00:00,1,301,330,710,0,31.2,2.6799998,-0.79999995,0.00728,101319.055,4
2020-05-14 00:00:00,1,298.6,361,649,0,55.600002,1.81,-0.64,0.01129,101085.83,4
2020-05-14 06:00:00,1,290.30002,352,4,0,94.5,2.12,-0.26,0.0113699995,101266.734,0
2020-05-14 12:00:00,1,289.7,324,10,0,97.4,1.1999999,-1.37,0.01132,101357.305,1
2020-05-14 18:00:00,1,302.80002,382,590,1.1e-5,47.4,3.82,-0.77,0.0122299995,101215.89,27
2020-05-15 00:00:00,1,298.5,388,618,9.8e-5,69.8,2.07,-0.01,0.01401,101075.93,44
2020-05-15 06:00:00,1,291.30002,363,4,0,94.5,2.1,-0.52,0.0122,101190.59,41
2020-05-15 12:00:00,1,290.7,341,10,0,97,1.5699999,-1.38,0.012019999,101203.164,19
2020-05-15 18:00:00,1,302.2,386,569,2e-6,52,3.11,-0.61,0.01299,101091.98,27
2020-05-16 00:00:00,1,299.5,398,611,4.1e-5,67.6,1.9699999,0.42999998,0.014509999,100914.086,28
2020-05-16 06:00:00,1,292.30002,370,4,0,96.1,2.03,0.089999996,0.01323,100963.52,39
2020-05-16 12:00:00,1,290.7,339,10,0,96.5,1.0699999,-1.0699999,0.01198,101049.6,55
2020-05-16 18:00:00,1,303.80002,369,681,0,42.2,2.8,-0.11,0.01162,100933.586,40
2020-05-17 00:00:00,1,301,401,626,5e-6,59.8,2.32,-0.11,0.0139999995,100684.484,32
2020-05-17 06:00:00,1,293,376,4,0,95.6,1.8399999,0.24,0.01377,100813.555,49
2020-05-17 12:00:00,1,292.30002,353,11,0,95.700005,1.06,-1.23,0.01318,100870.24,27
2020-05-17 18:00:00,1,304.4,369,699,0,38.8,2.69,-0.87,0.01105,100791.99,2
2020-05-18 00:00:00,1,297.6,397,626,1.43e-4,94,1.38,1.13,0.01794,100736.47,25
2020-05-18 06:00:00,1,293.2,379,4,7e-6,97.9,1.86,-0.21,0.0143,100745.1,33
2020-05-18 12:00:00,1,292.9,365,10,0,98.5,1.42,0.049999997,0.01407,100849.96,28
2020-05-18 18:00:00,1,304.80002,386,676,0,43.100002,2.03,1.35,0.01255,100791.836,16
2020-05-19 00:00:00,1,300.6,422,494,4.3e-5,69.700005,2.27,-0.22999999,0.01585,100653.4,51
2020-05-19 06:00:00,1,294.7,383,4,0,90.700005,2.22,1.04,0.014459999,100787.555,19
2020-05-19 12:00:00,1,293.7,371,11,0,96.6,1.22,0.85999995,0.01447,100899.83,29
2020-05-19 18:00:00,1,306.6,397,671,1e-6,42.2,1.28,1.0699999,0.01364,100871.85,26
2020-05-20 00:00:00,1,304.80002,421,635,0,66.200005,-0.35999998,0.5,0.01938,100611.23,11
2020-05-20 06:00:00,1,296.1,390,5,0,74.8,1.74,1.06,0.013049999,100828.5,0
2020-05-20 12:00:00,1,294.2,371,12,0,90.4,0.68,1.5,0.01399,100944.35,0
2020-05-20 18:00:00,1,309.80002,401,695,0,35.5,-1.11,0.7,0.013719999,100926.25,0
2020-05-21 00:00:00,1,305.4,436,585,0,60.4,-0.84,0.32999998,0.01832,100718.85,17
2020-05-21 06:00:00,1,294.9,402,5,0,82.9,-0.42999998,0.87,0.01342,100811.25,3
2020-05-21 12:00:00,1,296.5,383,12,0,82.8,-1.17,0.29999998,0.01481,100968.21,1
2020-05-21 18:00:00,1,310.5,412,695,0,33.100002,-1.5699999,-0.90999997,0.01327,100919.586,1
2020-05-22 00:00:00,1,306.1,454,420,0,60.4,-0.88,-0.39,0.01904,100734.31,51
2020-05-22 06:00:00,1,295.4,414,3,0,75.4,-0.39,-0.07,0.0126,100857.24,13
2020-05-22 12:00:00,1,297.5,382,12,3e-6,83,-0.72999996,-0.049999997,0.01571,100881.055,1
2020-05-22 18:00:00,1,310.6,404,701,0,27.1,-1.6899999,-1.99,0.011,100891,0
2020-05-23 00:00:00,1,306.4,426,607,0,46.100002,-0.98999995,-0.57,0.014719999,100664.08,12
2020-05-23 06:00:00,1,295,388,5,0,71.9,1.4499999,0.29,0.01172,100777.88,4
2020-05-23 12:00:00,1,295.80002,370,13,0,85.700005,0.62,1.1999999,0.01466,100855.805,14
2020-05-23 18:00:00,1,312.7,405,696,0,28.1,0,-0.78,0.012809999,100800.016,41
2020-05-24 00:00:00,1,304.1,449,434,0,49.5,1.89,0.29999998,0.013909999,100633,62
2020-05-24 06:00:00,1,297.1,419,2,6.7e-5,82,2.59,2.09,0.01509,100877.68,68
2020-05-24 12:00:00,1,294.7,395,10,3.9e-5,97.6,1.52,0.59,0.015559999,101020.87,78
2020-05-24 18:00:00,1,306,406,677,5.5e-5,55.9,0.35999998,0.98999995,0.017239999,100992.39,18
2020-05-25 00:00:00,1,302.4,439,506,6.8e-5,68.6,0.66999996,1.24,0.01735,100853.31,39
2020-05-25 06:00:00,1,294.2,397,4,7.6e-5,96.1,1.79,0.89,0.01487,101035.05,21
2020-05-25 12:00:00,1,293.2,370,13,3.1e-5,96.8,0.84999996,1.29,0.01411,101120.69,23
2020-05-25 18:00:00,1,304.4,391,693,9.5e-5,55.600002,0.82,0.06,0.01571,101057.336,9
2020-05-26 00:00:00,1,302.80002,420,565,7.9e-5,55.5,0.37,-1.35,0.014389999,100880.586,37
2020-05-26 06:00:00,1,293.4,389,5,1.7e-5,89.700005,1.25,-0.56,0.013169999,101081.016,30
2020-05-10 06:00:00,2,281.30002,9999e17,9999e17,9999e17,67.3,-1.66,-0.26999998,0.0044799997,101466.06,9999e17
2020-05-10 12:00:00,2,280.6,262,11,0,65.5,-1.16,-1.24,0.00416,101587.74,51
2020-05-10 18:00:00,2,296.4,283,735,0,22.800001,-2.1499999,-0.26,0.00403,101486.18,0
2020-05-11 00:00:00,2,292.7,310,673,0,50.9,-1.78,-0.12,0.00714,101261.086,0
2020-05-11 06:00:00,2,284.9,298,4,0,69.3,-1.9699999,0.61,0.0058899997,101474.06,0
2020-05-11 12:00:00,2,283.80002,295,11,0,70.700005,-3.09,-0.78999996,0.0056,101651.96,0
2020-05-11 18:00:00,2,294.1,295,719,0,31.6,-3.1399999,-0.07,0.00483,101618.5,0
2020-05-12 00:00:00,2,291.4,307,666,0,47.8,-1.8,-0.53,0.00616,101459.65,0
2020-05-12 06:00:00,2,283.1,294,4,0,63.8,-1.0699999,-1.28,0.00478,101510.055,20
2020-05-12 12:00:00,2,283.1,301,9,0,68.4,-0.81,-1.5799999,0.00513,101633.27,91
2020-05-12 18:00:00,2,298.63998,310,694,0,27.6,0.82,-1.22,0.00556,101505.9,56
2020-05-13 00:00:00,2,294.93,343,624,0,53.4,0.7,-1.25,0.0086199995,101188.23,68
2020-05-13 06:00:00,2,286.30002,320,4,0,74.6,1.6999999,0.48,0.00697,101343.97,50
2020-05-13 12:00:00,2,286.7,305,11,0,82,-0.24,-1.81,0.00782,101484.625,3
2020-05-13 18:00:00,2,301.5,328,712,0,28.7,2.79,-0.94,0.00688,101338.945,1
2020-05-14 00:00:00,2,298.80002,361,650,0,56.5,1.75,-0.24,0.01158,101144.63,4
2020-05-14 06:00:00,2,290.4,357,4,0,91.700005,2.1,0.01,0.01112,101298.984,12
2020-05-14 12:00:00,2,290.1,332,11,0,96,1.26,-1.74,0.01139,101460.71,1
2020-05-14 18:00:00,2,302.80002,359,701,0,37.600002,3.47,-1.9799999,0.0097199995,101313.89,1
2020-05-15 00:00:00,2,299.80002,376,647,0,50.9,2.46,-0.58,0.01108,101055.65,2
2020-05-15 06:00:00,2,290.1,347,4,0,97.1,1.8499999,0.22999999,0.01158,101174.27,36
2020-05-15 12:00:00,2,290.4,335,9,0,97.5,0.79999995,-1.66,0.011849999,101290.23,65
2020-05-15 18:00:00,2,303.5,369,680,0,39.8,2.6699998,-1.77,0.01077,101084.71,23
2020-05-16 00:00:00,2,300.7,389,639,0,53,1.48,-0.78999996,0.01217,100843.93,8
2020-05-16 06:00:00,2,291.6,363,4,0,87,1.76,0.48,0.01148,100991.18,7
2020-05-16 12:00:00,2,291.80002,346,11,0,93.6,0.68,-1.3,0.012449999,101076.43,30
2020-05-16 18:00:00,2,303.9,368,695,0,37.600002,2.36,-2.31,0.010439999,100947.27,30
2020-05-17 00:00:00,2,300.6,394,632,0,55.2,1.38,-0.72999996,0.012639999,100688.555,41
2020-05-17 06:00:00,2,291.6,370,4,0,86.1,1.38,0.58,0.01132,100785.44,41
2020-05-17 12:00:00,2,292.7,355,9,0,80.4,0.48,-1.5,0.01131,100891.016,65
2020-05-17 18:00:00,2,305.5,381,692,0,37,1.88,-0.61,0.0112499995,100830.21,24
2020-05-18 00:00:00,2,301.30002,421,411,0,63.8,0.96999997,-0.04,0.01519,100527.21,52
2020-05-18 06:00:00,2,293.6,371,4,0,80.5,0.85999995,1.6999999,0.01199,100631.81,4
2020-05-18 12:00:00,2,293.80002,359,11,0,90.6,-0.22,0.68,0.01373,100721.96,5
2020-05-18 18:00:00,2,307.1,388,695,0,35.3,1.0799999,0.83,0.0117,100726.53,1
2020-05-19 00:00:00,2,302.9,419,509,0,62.600002,0.77,-0.42,0.01644,100423.81,32
2020-05-19 06:00:00,2,294.5,383,3,0,76.9,1.78,0.9,0.01217,100654.5,18
2020-05-19 12:00:00,2,293.9,367,11,0,95.3,0.61,1.39,0.0145499995,100675.31,6
2020-05-19 18:00:00,2,307,394,641,9.1e-5,39.9,-0.049999997,0.87,0.01318,100763.7,43
2020-05-20 00:00:00,2,303.5,420,590,0,57.100002,-0.47,-0.87,0.015459999,100610.44,41
2020-05-20 06:00:00,2,295.1,388,4,2e-6,75.200005,1.77,0.29999998,0.01229,100798.14,7
2020-05-20 12:00:00,2,294.6,371,12,0,89.200005,0.22999999,1.3199999,0.01419,100880.125,1
2020-05-20 18:00:00,2,310.1,401,696,0,30.9,-1.18,0.25,0.01215,100732.56,0
2020-05-21 00:00:00,2,305,424,614,0,46.5,-1.49,0.04,0.01371,100592.02,11
2020-05-21 06:00:00,2,297.30002,395,4,0,64.3,-1.78,-0.53,0.012069999,100735.06,6
2020-05-21 12:00:00,2,296.4,379,12,0,74.9,-1.3,-0.96,0.013289999,100847.305,2
2020-05-21 18:00:00,2,311.30002,410,695,0,28.9,-1.1999999,-1.2099999,0.012159999,100874.98,0
2020-05-22 00:00:00,2,304.80002,454,358,0,54.3,0.01,-1.36,0.01589,100698.766,58
2020-05-22 06:00:00,2,297.1,419,3,7e-6,75.6,1.93,-0.22999999,0.01395,100970.1,26
2020-05-22 12:00:00,2,295,382,12,1.7e-5,90.1,1.65,-0.099999994,0.01464,101160.53,4
2020-05-22 18:00:00,2,311.5,406,696,0,32.9,0.17999999,-0.71999997,0.014029999,101052.09,0
2020-05-23 00:00:00,2,305.6,439,555,0,51.7,0.12,-1.3,0.0158,100718.1,25
2020-05-23 06:00:00,2,297.2,400,5,0,70.5,1.76,0.35,0.0131399995,100854.65,1
2020-05-23 12:00:00,2,295.4,377,12,0,84.9,1.2099999,1.09,0.014149999,100925.06,0
2020-05-23 18:00:00,2,310.6,402,701,0,31.2,0.88,-1.04,0.01261,100798.016,0
2020-05-24 00:00:00,2,304.30002,437,583,0,54.4,0.68,-0.68,0.01535,100466.305,28
2020-05-24 06:00:00,2,297.2,401,2,0,60.9,2.31,1.3399999,0.01131,100811.664,38
2020-05-24 12:00:00,2,294.30002,361,13,0,77.9,1.3399999,0.42999998,0.01215,100862.21,22
2020-05-24 18:00:00,2,308.1,388,700,0,32.2,2.19,-0.41,0.01134,100906.15,9
2020-05-25 00:00:00,2,304.2,436,454,0,50.8,1.25,-0.74,0.01438,100659.36,54
2020-05-25 06:00:00,2,295.4,397,5,7e-6,82.5,1.74,1.3199999,0.01375,100842.77,38
2020-05-25 12:00:00,2,294.5,371,13,3.4e-5,93.700005,0.03,1.17,0.014719999,101046.27,22
2020-05-25 18:00:00,2,307.30002,396,691,1.8e-5,36.5,0.38,-1.5799999,0.012259999,100740.19,3
2020-05-26 00:00:00,2,303.30002,439,365,0,61.600002,-0.35999998,-0.96,0.01651,100642.22,56
2020-05-26 06:00:00,2,293.80002,396,4,1.59e-4,89.4,0.28,1.23,0.013549999,100640.46,25
2020-05-10 06:00:00,3,282.2,9999e17,9999e17,9999e17,75.3,-1.9399999,-0.35999998,0.00533,101403.12,9999e17
2020-05-10 12:00:00,3,281.5,268,11,0,68.200005,-0.84,-1.41,0.0046099997,101508.97,58
2020-05-10 18:00:00,3,297.1,293,729,0,23.6,-2.28,0.32,0.00432,101460.586,1
2020-05-11 00:00:00,3,293,316,668,0,51.9,-1.75,-0.06,0.0074400000000000004,101216.96,0
2020-05-11 06:00:00,3,285.2,300,4,0,72,-1.99,0.64,0.00623,101453.31,0
2020-05-11 12:00:00,3,283.6,293,11,0,76.6,-2.6799998,-0.42,0.0059499997,101597.48,0
2020-05-11 18:00:00,3,294.80002,296,720,0,32.4,-3.05,0.32,0.00518,101530.95,0
2020-05-12 00:00:00,3,291.9,312,664,0,48.3,-1.79,-0.52,0.00641,101359.266,0
2020-05-12 06:00:00,3,283.5,296,4,0,63.5,-1.23,-1.38,0.0049,101462.516,13
2020-05-12 12:00:00,3,283.2,288,10,0,67.8,-0.90999997,-1.55,0.00514,101497.73,29
2020-05-12 18:00:00,3,298.09,313,696,0,28.9,1.5899999,-1.6899999,0.0056399996,101384.15,42
2020-05-13 00:00:00,3,295.63,341,643,0,52.5,1.5799999,-0.84,0.0088599995,101051.99,50
2020-05-13 06:00:00,3,287.1,323,4,0,93.4,1.79,0.48999998,0.009149999,101227.87,36
2020-05-13 12:00:00,3,287.80002,325,9,0,88.700005,1.48,-0.97999996,0.009149999,101287.37,64
2020-05-13 18:00:00,3,300.7,355,604,0,33.100002,2.75,-0.41,0.00757,101245.87,59
2020-05-14 00:00:00,3,298.34,375,604,0,59.600002,0.97999996,-0.78,0.01186,101026.77,35
2020-05-14 06:00:00,3,290.9,364,2,0,97.200005,2.03,0,0.012159999,101211.27,24
2020-05-14 12:00:00,3,289.30002,323,11,0,96.9,1.17,-1.3299999,0.01102,101291.94,24
2020-05-14 18:00:00,3,303,372,669,3e-6,45.100002,3.9299998,-0.87,0.01182,101161.77,11
2020-05-15 00:00:00,3,299.80002,396,613,7e-6,59.8,2.18,-0.17999999,0.01303,101001.39,12
2020-05-15 06:00:00,3,290.6,359,4,0,96.9,1.9499999,-0.47,0.01193,101193.96,6
2020-05-15 12:00:00,3,290.4,331,10,0,95.700005,1.23,-1.8399999,0.01165,101115.555,2
2020-05-15 18:00:00,3,303,373,642,2e-6,45.600002,3.6499999,-1.26,0.01196,101012.4,16
2020-05-16 00:00:00,3,299.9,397,612,4.3e-5,62.4,1.8199999,0.24,0.01364,100754.64,64
2020-05-16 06:00:00,3,292.7,378,3,0,87.9,1.9699999,-0.22,0.01239,100906.914,96
2020-05-16 12:00:00,3,292.2,369,4,0,93.3,1.56,-1.56,0.0127799995,100947.69,93
2020-05-16 18:00:00,3,303,393,441,5e-6,49.5,2.86,-0.90999997,0.0130199995,100885.03,66
2020-05-17 00:00:00,3,299.9,394,631,7.2e-5,67.700005,1.9699999,-0.16,0.01485,100640.9,34
2020-05-17 06:00:00,3,293.1,382,4,2.2e-4,97.5,0.95,0.78,0.01416,100795.75,78
2020-05-17 12:00:00,3,293.5,384,10,3.8e-5,97.9,1.36,-0.29,0.0145499995,100911.266,86
2020-05-17 18:00:00,3,296.6,392,416,3.14e-4,94.9,-1.66,0.78,0.016999999,100974.836,65
2020-05-18 00:00:00,3,297.80002,394,431,3.3e-5,78.8,1.5799999,0.099999994,0.01528,100760.35,61
2020-05-18 06:00:00,3,292.5,373,4,9.1e-5,97.9,1.51,0.35999998,0.01365,100789.27,64
2020-05-18 12:00:00,3,292.7,361,11,0,98.3,1.31,0.21,0.0138799995,100927.875,3
2020-05-18 18:00:00,3,302.4,388,663,3.5e-5,57.5,0.78,1.16,0.01457,100817.766,8
2020-05-19 00:00:00,3,300.80002,404,609,8.6e-5,76.9,0.53999996,0.58,0.017789999,100730.625,43
2020-05-19 06:00:00,3,293.5,379,4,1e-6,95.200005,1.86,0.38,0.01414,100825.805,39
2020-05-19 12:00:00,3,293.30002,366,11,0,97.5,1.5999999,1.03,0.014269999,100889.21,27
2020-05-19 18:00:00,3,304,398,518,0,52.600002,-0.31,1.64,0.014649999,100956.5,91
2020-05-20 00:00:00,3,303.80002,425,547,1e-6,74.3,0.51,0.35,0.020469999,100670.37,63
2020-05-20 06:00:00,3,295.5,391,4,0,80,1.18,1.4499999,0.01346,100867.56,51
2020-05-20 12:00:00,3,294.5,372,12,0,88,-0.65999997,1.11,0.01385,100962.05,20
2020-05-20 18:00:00,3,308.7,394,701,0,35,-1.25,0.68,0.0127799995,100920.13,0
2020-05-21 00:00:00,3,304.6,417,646,0,50.9,-1.5699999,-0.64,0.01474,100649.516,1
2020-05-21 06:00:00,3,295.7,387,5,0,70.200005,0.22999999,-1.86,0.011969999,100804.164,0
