forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-04 18:00:00,1,267.1,9999e17,9999e17,9999e17,76.200005,-0.37,-0.85999995,0.00194,96755.99,9999e17
2020-05-05 00:00:00,1,270.2,195,633,0,89.700005,-2.1499999,-0.75,0.0028499998,96670.555,0
2020-05-05 06:00:00,1,257.7,199,355,0,100,-0.63,-0.53,0.00107,96617.23,1
2020-05-05 12:00:00,1,259.5,198,5,0,90.700005,1.65,1.0799999,0.00127,96667.164,16
2020-05-05 18:00:00,1,268.9,207,170,0,87.4,-0.12,1.27,0.0025,96711.58,38
2020-05-06 00:00:00,1,270.4,223,593,0,91.5,-1.39,0.65,0.00294,96842.164,70
2020-05-06 06:00:00,1,265.1,248,298,2e-6,98.1,-1.04,-0.01,0.00205,97025.1,85
2020-05-06 12:00:00,1,262.4,265,4,7e-6,98.8,-0.71999997,0.59,0.00162,97191.875,98
2020-05-06 18:00:00,1,266.4,234,165,4e-6,95.6,-1.4699999,-1.22,0.0022099998,97307.33,77
2020-05-07 00:00:00,1,269.80002,216,614,1e-6,94.5,-2.03,-2.25,0.00287,97421.32,49
2020-05-07 06:00:00,1,266,243,317,2e-6,97.8,-1.22,-1.9,0.0022,97532.47,56
2020-05-07 12:00:00,1,261.4,221,6,0,94.9,1.3,-0.56,0.00148,97615.74,17
2020-05-07 18:00:00,1,273.2,222,182,0,90.6,1.39,-0.12,0.0035299999,97757.43,2
2020-05-08 00:00:00,1,274.7,239,614,0,99.9,1.03,-0.56,0.00435,97872.49,2
2020-05-08 06:00:00,1,271.6,244,345,0,90.9,2.4299998,0.45,0.00317,97988.02,2
2020-05-08 12:00:00,1,272.2,238,7,0,81.9,4.0299997,0.32999998,0.0029499999,98111.96,0
2020-05-08 18:00:00,1,275.1,235,189,0,91.200005,2.3799999,-0.31,0.00405,98120.45,0
2020-05-09 00:00:00,1,275.6,237,629,0,99.9,1.04,-2.08,0.00463,98064.555,1
2020-05-09 06:00:00,1,274.30002,235,361,0,82.8,2.33,-2.27,0.00348,97921.99,13
2020-05-09 12:00:00,1,272.30002,230,7,0,71.4,3.73,-2.1399999,0.0026,97785.7,55
2020-05-09 18:00:00,1,275.6,227,188,0,83.3,3.57,-1.77,0.00387,97656.87,61
2020-05-10 00:00:00,1,276.1,258,578,0,99.9,4.18,-0.96,0.00481,97549.555,79
2020-05-10 06:00:00,1,276.1,286,257,0,85,4.88,-0.04,0.00408,97496.04,94
2020-05-10 12:00:00,1,275.6,288,6,2e-6,78.9,4.29,0.62,0.00366,97561.23,83
2020-05-10 18:00:00,1,276.1,263,183,0,99.1,3.3899999,0.75,0.00477,97532.305,44
2020-05-11 00:00:00,1,276.5,263,610,0,99.9,2.1399999,-0.38,0.0049699997,97461.98,41
2020-05-11 06:00:00,1,277.4,267,353,0,81.1,3.09,-0.89,0.00429,97333.914,13
2020-05-11 12:00:00,1,276.4,265,9,0,82.200005,4.47,1.13,0.00405,97388.08,13
2020-05-11 18:00:00,1,276.7,261,194,0,99.9,3.05,0.96999997,0.00501,97401.38,6
2020-05-12 00:00:00,1,277.2,265,618,0,100,0.39999998,-0.32,0.00524,97387.58,6
2020-05-12 06:00:00,1,274.30002,265,355,0,82.200005,-0.22,-1.05,0.00351,97347.73,13
2020-05-12 12:00:00,1,271.30002,256,10,0,87.700005,-0.71999997,-0.66999996,0.0029799999,97362.9,26
2020-05-12 18:00:00,1,275,249,197,0,97.200005,-0.7,-0.53999996,0.00433,97291.44,8
2020-05-13 00:00:00,1,276.4,246,625,0,94.700005,-2.1399999,-1.09,0.0046,97491.4,13
2020-05-13 06:00:00,1,272.1,242,357,0,91.200005,-1.8399999,-1.14,0.00329,97333.7,29
2020-05-13 12:00:00,1,268.2,225,11,0,92.4,-1.06,-0.97999996,0.0025,97116.164,11
2020-05-13 18:00:00,1,275.2,228,205,0,87.1,-1.05,-1.3199999,0.00393,96904.016,1
2020-05-14 00:00:00,1,280.30002,241,634,0,64.700005,-2.28,-1.9399999,0.00415,96719.12,1
2020-05-14 06:00:00,1,276.6,240,372,0,56.3,-0.69,-2.1699998,0.00281,96570.95,2
2020-05-14 12:00:00,1,273.80002,232,13,0,52.7,3.37,-0.48999998,0.0021799998,96620.94,1
2020-05-14 18:00:00,1,280.7,236,209,0,44.7,2.36,0.51,0.0029799999,96749.86,1
2020-05-15 00:00:00,1,286.5,252,630,0,27.6,-1.1899999,-0.91999996,0.0027299998,96854.43,0
2020-05-15 06:00:00,1,280.6,259,370,0,42.8,-0.76,-1.7199999,0.0028199998,96965.6,0
2020-05-15 12:00:00,1,277.30002,257,13,0,58.100002,1.81,0.77,0.00306,97139.13,0
2020-05-15 18:00:00,1,285.4,262,204,0,32.5,0.41,1.2099999,0.0029799999,97245.086,0
2020-05-16 00:00:00,1,287.9,279,609,0,39.9,-2.34,1.51,0.0042999997,97313.56,1
2020-05-16 06:00:00,1,282.6,280,356,0,64.4,-1.51,0.11,0.00489,97334.57,1
2020-05-16 12:00:00,1,276.30002,264,14,0,85,-0.25,0.82,0.00416,97377.555,6
2020-05-16 18:00:00,1,282.6,262,201,0,56.7,-0.089999996,0.75,0.00428,97323.33,23
2020-05-17 00:00:00,1,286.7,277,607,0,44.8,-2.61,-0.37,0.00446,97222.94,26
2020-05-17 06:00:00,1,283.6,282,348,0,60.5,-1.66,-1.5999999,0.0049099997,97084.4,36
2020-05-17 12:00:00,1,278,281,13,1e-6,84.9,-0.78999996,-0.84999996,0.00468,97017.71,55
2020-05-17 18:00:00,1,282.1,280,170,7e-6,67.200005,-0.9,0.099999994,0.00496,96994.83,69
2020-05-18 00:00:00,1,286.4,286,594,3e-6,54,-2.86,-1.18,0.0053,96914.08,27
