forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-07 18:00:00,1,284.1,9999e17,9999e17,9999e17,33.2,-3.84,3.25,0.0028199998,96570.78,9999e17
2020-05-08 00:00:00,1,281.9,249,636,0,32.2,-4.33,1.24,0.00237,96467.55,41
2020-05-08 06:00:00,1,272.7,231,10,0,54.2,-3.58,-0.81,0.0020599999,96736.836,65
2020-05-08 12:00:00,1,270.30002,208,15,0,63.5,-5.22,0.16,0.0019999999,96999.6,1
2020-05-08 18:00:00,1,276.80002,210,668,1e-6,23.9,-5.66,1.66,0.0012299999,96965.336,20
2020-05-09 00:00:00,1,276.80002,214,662,0,25.6,-5.47,1,0.0013,96983.89,0
2020-05-09 06:00:00,1,271.1,213,12,0,43.100002,-0.35999998,2.9099998,0.0014599999,97029.12,2
2020-05-09 12:00:00,1,272.30002,212,15,0,41.2,-1.4599999,2.76,0.0015199999,97037.5,7
2020-05-09 18:00:00,1,282.2,262,518,0,26.9,-0.38,4.89,0.0019999999,96907.86,79
2020-05-10 00:00:00,1,279,301,336,2.2e-5,66.4,-0.82,-1.91,0.00395,96622.8,87
2020-05-10 06:00:00,1,274.7,313,5,3.44e-4,91.8,-1.4,-4.7599998,0.00405,96435.305,95
2020-05-10 12:00:00,1,273.1,301,10,8.6e-5,93,-2.86,-3.85,0.0036499999,96464.35,97
2020-05-10 18:00:00,1,277.7,274,555,1.4e-5,85,-5.79,1.18,0.00463,96702.055,71
2020-05-11 00:00:00,1,277.30002,281,532,1.2e-5,76.1,-3.33,1.4,0.00402,96849.54,76
2020-05-11 06:00:00,1,270.9,231,12,0,85.6,-1.6999999,1.66,0.00283,97026.35,18
2020-05-11 12:00:00,1,270.30002,217,17,0,80.8,-3.25,-0.17999999,0.0025499999,97211.02,9
2020-05-11 18:00:00,1,279.7,216,686,0,32.4,-2.85,3.98,0.00201,97232.195,0
2020-05-12 00:00:00,1,279.5,232,663,0,41.4,-0.62,3.4099998,0.00254,96962.83,0
2020-05-12 06:00:00,1,271.5,224,14,0,72.9,0.57,3.4299998,0.00254,96903.07,0
2020-05-12 12:00:00,1,270.80002,212,18,0,56.100002,-1.41,4.5499997,0.00185,96761.6,0
2020-05-12 18:00:00,1,280,240,616,3e-6,32.8,-4.8399997,8.87,0.00211,96567.016,27
2020-05-13 00:00:00,1,279.9,246,628,0,39.7,-3.21,2.11,0.0025199999,96746.67,24
2020-05-13 06:00:00,1,272.30002,230,14,0,63.100002,-1.12,2.32,0.00232,97008,0
2020-05-13 12:00:00,1,274.5,229,18,0,58.4,-1.48,1.3199999,0.0025199999,97189.27,0
2020-05-13 18:00:00,1,286.1,249,667,0,33.8,-0.38,3.1699998,0.00324,97085.4,14
2020-05-14 00:00:00,1,285.2,272,642,0,53.9,1.88,1.53,0.00488,96974.27,26
2020-05-14 06:00:00,1,275,266,14,0,81.5,1.5899999,-0.62,0.0036499999,96998.016,38
2020-05-14 12:00:00,1,278.6,281,13,0,72.6,1.38,-2.6699998,0.0042,96842.44,60
2020-05-14 18:00:00,1,280.6,329,145,4e-5,76.9,3.35,-6.54,0.00513,96622.266,91
2020-05-15 00:00:00,1,279.7,340,97,1.13e-4,93.1,2,-6.0699997,0.00588,95998.45,99
2020-05-15 06:00:00,1,279.9,344,1,1.4999999e-4,97.1,-2.01,-3.72,0.00621,95676.73,96
2020-05-15 12:00:00,1,278.80002,339,2,3.1e-5,96.6,-1.92,-1.43,0.00575,95960.45,89
2020-05-15 18:00:00,1,283.7,340,215,1.6e-5,79.4,-1.35,0.71999997,0.0065599997,96325.82,93
2020-05-16 00:00:00,1,282.6,341,186,2.2e-5,86.4,-2.6799998,0.25,0.00664,96499.305,90
2020-05-16 06:00:00,1,277.5,296,7,4e-6,97.3,-2.6799998,0.22999999,0.00523,96768.41,45
2020-05-16 12:00:00,1,275.7,265,18,0,95.1,-2.7,-0.22,0.0044799997,97043.04,23
2020-05-16 18:00:00,1,287.7,261,666,0,39,-2.62,0.47,0.00415,97126.06,2
2020-05-17 00:00:00,1,287.9,290,620,0,53,-1.37,2.61,0.00575,97060.164,18
2020-05-17 06:00:00,1,280.30002,286,15,2.7e-5,91.200005,-0.96,2.3,0.00594,97189.7,14
2020-05-17 12:00:00,1,280.2,271,19,0,91.8,-0.35,2.69,0.00592,97316.57,2
2020-05-17 18:00:00,1,291.80002,297,617,0,43.2,-1.63,4.17,0.00599,97302.23,17
2020-05-18 00:00:00,1,290.4,337,449,0,62.600002,-0.03,1.73,0.00796,97204.96,51
2020-05-18 06:00:00,1,282,293,15,8e-6,87.700005,1.4499999,2.34,0.0063899998,97295.4,4
2020-05-18 12:00:00,1,282.1,280,19,0,87.6,0.98999995,1.74,0.0064399997,97304.305,1
2020-05-18 18:00:00,1,292.6,295,658,0,45.3,4.48,2.32,0.0066199997,97209.07,2
2020-05-19 00:00:00,1,290.9,317,588,2e-6,58.9,3.87,0.83,0.0077199996,96954.805,32
2020-05-19 06:00:00,1,283.7,298,15,0,87.6,3.59,-1.03,0.00722,96880.5,44
2020-05-19 12:00:00,1,282.5,281,19,0,81,3.8,-1.48,0.00616,96737.84,27
2020-05-19 18:00:00,1,292.4,292,651,0,42.7,7.2599998,-1.79,0.0061899996,96435.24,61
2020-05-20 00:00:00,1,290.2,330,579,0,62.8,3.47,-0.16,0.0079499995,96248.32,69
2020-05-20 06:00:00,1,284.7,351,6,1e-6,85.5,-0.21,-2.69,0.00756,96325.664,84
2020-05-20 12:00:00,1,283.30002,296,19,0,82.700005,-2.1,-2.55,0.00661,96449.52,15
2020-05-20 18:00:00,1,293.2,320,605,1.1e-5,59.100002,-0.37,-3.04,0.009,96498.65,11
2020-05-21 00:00:00,1,291.7,344,536,6e-5,76.5,0.89,-2.87,0.0106,96522.93,25
2020-05-21 06:00:00,1,286.1,329,15,4e-6,97.200005,1.68,-2.05,0.009389999,96647.766,20
2020-05-21 12:00:00,1,284.6,318,18,1e-6,96.5,2.02,-1.79,0.00842,96756.96,38
2020-05-21 18:00:00,1,294.5,315,648,0,55.5,4.88,-2.51,0.009149999,96678.11,12
2020-05-22 00:00:00,1,293.30002,335,636,0,67.4,5.48,-2.36,0.01034,96483.164,12
2020-05-22 06:00:00,1,287.30002,319,17,0,96.6,4.35,-1.51,0.010059999,96578.805,1
2020-05-22 12:00:00,1,287.1,312,20,0,94.8,3.8999999,-1.39,0.00976,96684.23,5
2020-05-22 18:00:00,1,296.9,336,610,1e-6,60.100002,7.97,-0.26999998,0.01145,96639.14,15
2020-05-23 00:00:00,1,296.4,361,608,0,66.1,6.5,-0.59999996,0.01227,96513.39,13
2020-05-23 06:00:00,1,289.80002,335,17,0,86.5,4.9,-0.78,0.01059,96735.83,1
2020-05-23 12:00:00,1,288.6,314,21,0,86.1,4.54,-0.45,0.00979,96844.64,1
2020-05-23 18:00:00,1,299.5,333,662,0,53.4,6.8399997,0.48999998,0.01186,96868.086,2
2020-05-07 18:00:00,2,284.6,9999e17,9999e17,9999e17,35.4,-3.55,3.9499998,0.0030999999,96530.25,9999e17
2020-05-08 00:00:00,2,282,252,637,0,31.2,-5.02,1.78,0.0023,96459.21,39
2020-05-08 06:00:00,2,272.9,229,11,0,55.3,-4.2599998,-0.51,0.00214,96749.34,56
2020-05-08 12:00:00,2,269.30002,204,16,0,50.8,-5.99,0.099999994,0.0014899999,97048.9,0
2020-05-08 18:00:00,2,276.80002,201,678,0,23.7,-5.6099997,2.19,0.00121,96998.37,5
2020-05-09 00:00:00,2,276.9,216,660,0,25.9,-5.24,1.2099999,0.00133,96975.09,9
2020-05-09 06:00:00,2,271.1,214,12,0,43.7,-0.66999996,2.84,0.00147,96992.586,9
2020-05-09 12:00:00,2,272.5,213,14,0,39.9,-1.3399999,2.3,0.0015,97009.58,11
2020-05-09 18:00:00,2,280.9,273,438,2e-6,35.7,0.45,4.41,0.00242,96902.31,91
2020-05-10 00:00:00,2,278,303,282,4.6e-5,75.1,0.59,-3.81,0.00419,96467.94,85
2020-05-10 06:00:00,2,274.9,312,7,4.52e-4,97.1,-0.45,-6.43,0.0043599997,96128.14,92
2020-05-10 12:00:00,2,272.4,304,7,1.41e-4,93.6,-5.29,-4.94,0.0034999999,96231.83,99
2020-05-10 18:00:00,2,275.30002,293,419,5.5e-5,92.4,-7.12,1.4499999,0.0042399997,96638.43,95
2020-05-11 00:00:00,2,275.6,285,435,1.6e-5,91.200005,-3.7099998,1.92,0.00427,96867.02,81
2020-05-11 06:00:00,2,270.7,228,12,0,96.4,-1.64,2.3799999,0.00314,97000.305,10
2020-05-11 12:00:00,2,269.2,215,17,0,91.9,-3.1,0.02,0.00268,97192.3,4
2020-05-11 18:00:00,2,276.80002,214,683,1e-6,57.600002,-2.8799999,4.17,0.00291,97230.43,5
2020-05-12 00:00:00,2,277.7,233,657,0,52.9,-0.7,3.8899999,0.00288,96866.98,6
2020-05-12 06:00:00,2,271.80002,223,14,0,73.200005,-0.53,4.37,0.0026099999,96738.74,0
2020-05-12 12:00:00,2,270.7,210,18,0,60.600002,-2.34,5.64,0.00198,96752.08,0
2020-05-12 18:00:00,2,281.9,226,676,0,34.5,-3.33,7.48,0.00251,96630.5,0
2020-05-13 00:00:00,2,281.80002,250,655,0,48.7,-1.04,4.31,0.0035199998,96636.72,0
2020-05-13 06:00:00,2,273.2,238,14,0,78.8,-0.52,3.36,0.00312,96769.49,0
2020-05-13 12:00:00,2,274.5,233,18,0,69,-1.3399999,1.88,0.00299,96809.87,9
2020-05-13 18:00:00,2,286.2,260,641,0,35,0.04,2.6399999,0.00339,96599.625,48
2020-05-14 00:00:00,2,283.93,299,526,0,60.4,1.39,1.43,0.00505,96499.21,92
2020-05-14 06:00:00,2,278.2,303,11,7e-6,78.700005,-3.25,-2.1499999,0.00444,96524.21,90
2020-05-14 12:00:00,2,277.80002,315,10,5e-6,87.6,-1.9399999,-3.31,0.0047999998,96749.29,91
2020-05-14 18:00:00,2,286.30002,298,540,6e-6,55.4,0.66999996,-3.49,0.00539,96870.32,66
2020-05-15 00:00:00,2,285.30002,332,323,1.4e-5,68.5,0.53,0.22999999,0.0062499996,96958.9,78
2020-05-15 06:00:00,2,277.1,288,8,0,79.1,2.07,-0.58,0.00409,97203.52,42
2020-05-15 12:00:00,2,278.4,251,18,0,73.1,0.74,1.27,0.00413,97419.73,24
2020-05-15 18:00:00,2,289,267,666,0,34.5,2.46,0.37,0.00396,97515.695,1
2020-05-16 00:00:00,2,288.1,308,566,0,51.2,1.56,0.82,0.0055899997,97249.375,46
2020-05-16 06:00:00,2,280.30002,292,11,0,62.4,2.57,0.53999996,0.00407,97300.09,92
2020-05-16 12:00:00,2,280.7,286,12,0,68.700005,1.9,-1.04,0.00458,97242.87,81
2020-05-16 18:00:00,2,289.9,292,612,0,35.9,3.54,0.42999998,0.00439,97015.52,47
2020-05-17 00:00:00,2,284.9,333,410,4.8e-5,83.3,0.48,0.9,0.00739,96831.414,92
2020-05-17 06:00:00,2,277.80002,301,4,7e-6,95.4,0.39999998,-0.98999995,0.00529,96823.71,67
2020-05-17 12:00:00,2,281.1,284,18,0,94.8,-1.01,-0.82,0.00655,96971.4,51
2020-05-17 18:00:00,2,291.2,299,630,4e-6,49,1.8399999,-1.4,0.0065099997,96978.29,11
2020-05-18 00:00:00,2,289.80002,325,521,1.5e-5,64.5,1.43,0.22,0.00787,96986.164,37
2020-05-18 06:00:00,2,281.30002,292,15,0,89.5,2.1399999,-0.38,0.00622,97091.445,17
2020-05-18 12:00:00,2,281.80002,275,20,0,87.5,1.41,-1.4,0.0063099996,97188.31,14
2020-05-18 18:00:00,2,291.9,290,660,0,48.4,4.5699997,-1.8399999,0.00676,97165.45,34
2020-05-19 00:00:00,2,289.75,330,544,3e-6,65.3,3.1499999,-1.0799999,0.00796,97000.58,70
2020-05-19 06:00:00,2,283.2,302,14,0,79.200005,2.58,-2.35,0.00629,96993.336,65
2020-05-19 12:00:00,2,282.2,327,10,2.8e-5,92.6,1.7099999,-2.51,0.0068599996,96966.18,93
2020-05-19 18:00:00,2,288.9,345,273,3.8e-5,79.1,2.86,-3.9299998,0.00912,96998.29,93
2020-05-20 00:00:00,2,291.30002,353,475,0,65,3.05,-1.8499999,0.00877,96842.27,67
2020-05-20 06:00:00,2,282.9,305,15,0,94,1.28,-2.33,0.00727,96982.01,4
2020-05-20 12:00:00,2,282.9,291,20,0,86.8,0.56,-2.51,0.0067499997,97148.7,3
2020-05-20 18:00:00,2,294.9,310,653,0,45.7,2.6599998,-3.1599998,0.0076699997,97100.875,9
2020-05-21 00:00:00,2,294,334,639,0,62.3,2.55,-1.66,0.0099,97050.81,13
2020-05-21 06:00:00,2,285.2,312,17,0,94.3,2.08,-2.1399999,0.00852,97157.86,12
2020-05-21 12:00:00,2,284.4,293,21,0,88.9,1.67,-1.81,0.00763,97220.02,20
2020-05-21 18:00:00,2,297,320,657,0,54.5,4.21,-0.65,0.01042,97194.59,25
2020-05-22 00:00:00,2,296.5,352,636,0,67.200005,2.81,0.32,0.01246,96932.805,20
2020-05-22 06:00:00,2,288.9,338,16,0,95.3,2.9099998,-0.26999998,0.01097,96963.35,11
2020-05-22 12:00:00,2,288.9,324,20,0,95,1.9699999,0.95,0.010919999,97252.66,5
2020-05-22 18:00:00,2,299.1,355,611,4e-6,58.100002,1.06,2.73,0.0125899995,97075.555,21
2020-05-23 00:00:00,2,298.1,378,543,1e-6,67.1,2.05,2.44,0.01375,97129.52,34
2020-05-23 06:00:00,2,290.7,347,17,0,94.5,1.35,2.19,0.01222,97007.695,3
2020-05-23 12:00:00,2,290.80002,338,20,0,94.200005,1.12,2.1599998,0.01218,97370.12,15
2020-05-23 18:00:00,2,301.5,365,641,1e-6,55.8,2.2,4.47,0.013959999,97001.95,4
2020-05-07 18:00:00,3,284.1,9999e17,9999e17,9999e17,34.600002,-4.08,3.36,0.00294,96590.516,9999e17
2020-05-08 00:00:00,3,281.6,247,644,0,32.3,-4.72,1,0.00231,96522.4,20
2020-05-08 06:00:00,3,272.5,230,11,0,54.100002,-3.6499999,-0.44,0.0020299999,96759.01,68
2020-05-08 12:00:00,3,269.5,205,15,0,55.4,-5.5899997,-0.089999996,0.00165,97040.125,4
2020-05-08 18:00:00,3,276.30002,199,679,0,22.6,-5.66,1.63,0.00111,96985.49,4
2020-05-09 00:00:00,3,276.5,215,659,0,25.7,-5.58,1.11,0.00128,96991.875,18
2020-05-09 06:00:00,3,271.30002,215,12,0,44,-0.26,3.04,0.0015,97001.62,12
2020-05-09 12:00:00,3,272.2,212,16,0,42.3,-2.24,2.6299999,0.0015499999,97004.2,1
2020-05-09 18:00:00,3,283.4,228,670,0,23.5,-1.8499999,5.0299997,0.00189,96865.19,3
2020-05-10 00:00:00,3,282.9,254,636,0,43.100002,0.089999996,3.21,0.00336,96600.664,47
2020-05-10 06:00:00,3,275.7,305,7,4.9e-5,75.8,-0.65,-3.5,0.0035899999,96481.07,95
2020-05-10 12:00:00,3,274.7,305,7,6.1e-5,65.200005,-1.8199999,-3.52,0.00286,96460.086,99
2020-05-10 18:00:00,3,280.80002,293,466,2.5e-5,53.3,-4.56,-0.69,0.00358,96641.72,88
2020-05-11 00:00:00,3,278.6,292,474,1.1e-5,52.4,-5.0699997,0.42999998,0.00305,96792.81,77
2020-05-11 06:00:00,3,268.9,227,12,0,82,-1.64,-0.11,0.00232,97006.74,10
2020-05-11 12:00:00,3,271.1,216,17,0,62.5,-1.9399999,-0.98999995,0.00211,97162.46,4
2020-05-11 18:00:00,3,281.1,225,675,0,26.9,-2.51,3.02,0.0018399999,97173.15,4
2020-05-12 00:00:00,3,280.1,235,663,0,39.2,-0.9,2.81,0.0025,96943.68,1
2020-05-12 06:00:00,3,271.6,222,14,0,61.100002,0.35,2.9299998,0.0021499998,97023.23,0
2020-05-12 12:00:00,3,272.30002,218,18,0,62.2,0.68,2.71,0.00229,96901.39,2
2020-05-12 18:00:00,3,282.5,245,618,0,29.5,1.8399999,6.8999996,0.00223,96726.266,65
2020-05-13 00:00:00,3,280.1,279,476,0,56.9,2.29,5.71,0.00367,96420.016,80
2020-05-13 06:00:00,3,276,263,12,2.4e-5,94.5,-1.4699999,5.99,0.00457,96305.77,32
2020-05-13 12:00:00,3,270.7,238,18,6e-6,89.200005,-4.64,0.06,0.00293,96721.74,25
2020-05-13 18:00:00,3,284.1,231,681,0,37.100002,-1.39,-2.9399998,0.00312,96884.83,6
2020-05-14 00:00:00,3,283.2,282,558,0,58.100002,1.53,-1.8299999,0.00462,96846.37,86
2020-05-14 06:00:00,3,276.1,290,7,0,72.200005,0.95,-2.6299999,0.00351,96910.77,77
2020-05-14 12:00:00,3,276.4,289,10,0,58.9,0.089999996,-3.58,0.00293,96815.914,73
2020-05-14 18:00:00,3,287.2,267,649,0,41.100002,1.77,-2.37,0.0042499998,96659.37,19
2020-05-15 00:00:00,3,287.2,291,615,0,60.7,2.12,-1.0699999,0.0063199997,96462.945,67
2020-05-15 06:00:00,3,280,307,11,5e-6,94.200005,1.66,-0.76,0.00603,96594.28,83
2020-05-15 12:00:00,3,280.9,321,10,1.2e-5,92.9,1.24,-1.53,0.0063199997,96607.93,73
2020-05-15 18:00:00,3,289.6,337,438,6e-6,61.4,0.91999996,1.6899999,0.00745,96695.39,64
2020-05-16 00:00:00,3,289.6,349,310,1e-6,67.6,0.02,-0.17,0.0082,96438.45,85
2020-05-16 06:00:00,3,283.80002,337,11,1.14e-4,95.9,0.66999996,-2.98,0.0079499995,96543.63,86
2020-05-16 12:00:00,3,282.7,346,3,1.3e-4,95.4,1.3299999,-4.62,0.0073499996,96388,97
2020-05-16 18:00:00,3,289.1,344,281,5e-6,66,-1.11,-4.11,0.00774,96458.44,85
2020-05-17 00:00:00,3,289.9,335,563,0,68.1,-0.58,-3.11,0.00842,96528.98,39
2020-05-17 06:00:00,3,282.80002,317,11,0,92.700005,-1.29,-3.28,0.00716,96614.25,58
2020-05-17 12:00:00,3,282.4,296,15,0,88.200005,-2.12,-3.74,0.00664,96776.164,95
2020-05-17 18:00:00,3,292.30002,306,611,0,50.8,0.39,-6.2599998,0.00728,96719.4,81
2020-05-18 00:00:00,3,291.30002,323,617,0,59.2,1.0699999,-5.2599998,0.007999999,96505.17,56
2020-05-18 06:00:00,3,283.80002,310,14,0,88.6,0.11,-3.25,0.00738,96455.375,37
2020-05-18 12:00:00,3,285,358,5,1e-5,93.700005,0.71,-3.31,0.00839,96373.4,86
2020-05-18 18:00:00,3,293.7,367,378,4e-6,68,2.1599998,-2.12,0.01074,96320.83,77
2020-05-19 00:00:00,3,293.4,388,423,1.3e-5,81.6,2.01,-2.29,0.01265,96128.65,70
2020-05-19 06:00:00,3,290.1,360,10,2.9e-5,97,2.6599998,-3.07,0.0122,96152.04,68
2020-05-19 12:00:00,3,290.6,382,10,9e-5,98.5,2.34,-2.33,0.01275,96028.96,93
2020-05-19 18:00:00,3,298.4,381,481,1.8e-5,68.5,7.52,-1.02,0.01438,95911.08,78
2020-05-20 00:00:00,3,293.9,384,523,2.44e-4,89.5,7.35,0.69,0.01437,95662.77,73
2020-05-20 06:00:00,3,290.9,362,12,5.82e-4,94.700005,5.1099997,1.8,0.01263,95577.586,67
2020-05-20 12:00:00,3,287.6,366,10,2.46e-4,93.9,-2.84,2.49,0.01007,95734.79,94
2020-05-20 18:00:00,3,296.1,311,639,0,42.5,0.7,7.4199996,0.00776,95942.61,35
2020-05-21 00:00:00,3,294.80002,334,641,0,61.100002,1.92,6.18,0.01034,95996.305,2
2020-05-21 06:00:00,3,286.80002,321,16,0,73.8,-1.16,3.76,0.00751,96202.336,1
2020-05-21 12:00:00,3,283,299,14,1e-6,76.8,-3.33,2.4099998,0.00605,96586.45,11
2020-05-21 18:00:00,3,291,318,584,1.4e-5,47,-1.67,-1.73,0.00623,96616.95,30
2020-05-22 00:00:00,3,289.1,349,462,3.12e-4,90.8,0.14999999,-2.77,0.01065,96610.68,70
2020-05-22 06:00:00,3,281.4,363,3,5.43e-4,93.700005,-0.59,-7.0099998,0.0066,96642.45,98
2020-05-22 12:00:00,3,280.5,348,1,1.53e-4,95.9,-1.0799999,-6.3399997,0.00633,96817.914,100
2020-05-22 18:00:00,3,282.5,351,62,1.32e-4,94.9,-1.14,-7.35,0.00719,96648.44,100
2020-05-23 00:00:00,3,279.78,350,31,1.77e-4,95,-0.69,-8.3,0.00597,96934.44,100
2020-05-23 06:00:00,3,279.5,346,1,2.53e-4,96.1,-0.32999998,-7.71,0.00594,96826.4,99
