forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-07 06:00:00,1,278.2,9999e17,9999e17,9999e17,90.9,-0.56,0.91999996,0.00501,98817.33,9999e17
2020-05-07 12:00:00,1,278.5,263,4,0,87.9,0.97999996,-0.28,0.0049699997,98669.03,2
2020-05-07 18:00:00,1,290.80002,297,561,0,51.100002,6.1299996,-0.9,0.00658,98206.73,47
2020-05-08 00:00:00,1,286,359,270,2.95e-4,91.8,-0.55,-3.85,0.00871,97790.016,94
2020-05-08 06:00:00,1,284.4,365,0,3.2e-4,97.4,-1.04,-1.41,0.00835,97607.95,99
2020-05-08 12:00:00,1,281.30002,344,2,5.4e-5,90.3,-8.929999,-0.84,0.00622,98284.13,81
2020-05-08 18:00:00,1,285.6,266,636,0,43.3,-8.71,0.01,0.00396,98869.234,10
2020-05-09 00:00:00,1,285.2,265,727,0,52.7,-5.17,1.04,0.00468,98832.35,0
2020-05-09 06:00:00,1,276.2,253,18,0,77.700005,-1.35,-0.12,0.0037200000000000002,98950.25,0
2020-05-09 12:00:00,1,277.80002,247,4,0,66.3,2.37,0.16,0.00355,98965.414,19
2020-05-09 18:00:00,1,288.2,277,590,0,48.100002,5.23,3.06,0.00518,98982.01,74
2020-05-10 00:00:00,1,288.4,306,589,0,59.8,3.3,0.41,0.00654,98546.24,45
2020-05-10 06:00:00,1,284.6,314,18,0,62.5,5.0899997,1.89,0.00538,98469.29,51
2020-05-10 12:00:00,1,280.1,306,5,1e-6,67.8,-5.49,5.39,0.00426,98600.14,43
2020-05-10 18:00:00,1,285.5,259,644,0,53.9,-7.44,5.9,0.00488,98883.516,1
2020-05-11 00:00:00,1,285.6,275,720,0,55.7,-6.12,1.11,0.00508,98849.25,0
2020-05-11 06:00:00,1,277.7,258,19,0,71.4,-2.6399999,0.97999996,0.0037999998,99188.14,0
2020-05-11 12:00:00,1,277.7,255,4,0,67.200005,-2.61,-1.29,0.00357,99200.234,10
2020-05-11 18:00:00,1,283.30002,313,311,7e-6,48.3,-1.02,-0.25,0.0037399998,99288.45,82
2020-05-12 00:00:00,1,283.6,323,245,2.7e-5,60.600002,1.27,-1.0799999,0.00482,98901.1,98
2020-05-12 06:00:00,1,278.80002,313,8,4e-5,90.6,2.56,-0.79999995,0.00523,98894.64,98
2020-05-12 12:00:00,1,278.80002,324,1,1.3e-5,88.9,2.37,-3.3799999,0.00513,98663.305,99
2020-05-12 18:00:00,1,281.7,338,82,1.12e-4,91.200005,3.07,-3.77,0.0064399997,98424.3,100
2020-05-13 00:00:00,1,283.1,349,114,8e-5,92.4,2.86,-2.6599998,0.0071699996,98221.51,93
2020-05-13 06:00:00,1,279.1,313,5,2e-6,96.9,1,-2.28,0.00574,98240.89,50
2020-05-13 12:00:00,1,280.4,303,2,3.5e-5,96.5,-3.75,-2.62,0.0062499996,98312.664,45
2020-05-13 18:00:00,1,286.5,340,198,2.06e-4,81.4,-2.23,-5.04,0.00789,98428.26,96
2020-05-14 00:00:00,1,287,355,417,6e-6,77.1,-2.4199998,-5.2599998,0.00776,98395.01,74
2020-05-14 06:00:00,1,282,312,8,0,93.1,0.62,-4.25,0.0066799996,98568.125,35
2020-05-14 12:00:00,1,282,307,3,2e-6,91.200005,-0.22,-7.31,0.00655,98474.61,83
2020-05-14 18:00:00,1,285.7,357,157,3.3e-5,88.4,2.46,-7.87,0.00813,98391.195,95
2020-05-15 00:00:00,1,290.1,375,198,2.2e-5,91.9,1.9599999,-4.92,0.011349999,97962.9,90
2020-05-15 06:00:00,1,289,366,5,1.17999996e-4,97.9,2.8999999,-2.31,0.011229999,97811.59,67
2020-05-15 12:00:00,1,290.30002,382,1,0.0010929999,97.4,4.63,-0.44,0.01217,97847.164,96
2020-05-15 18:00:00,1,295.6,381,202,2.17e-4,87.700005,4.91,1.51,0.01528,97760.58,99
2020-05-16 00:00:00,1,295.1,388,471,5.09e-4,86.4,-0.68,-2.1699998,0.01459,97584.83,94
2020-05-16 06:00:00,1,290.1,369,9,9.9e-5,96.5,0.02,-2.28,0.01194,97666.04,94
2020-05-16 12:00:00,1,290.6,370,3,1.02e-4,96.9,-1.64,-0.72999996,0.01237,97750.74,92
2020-05-16 18:00:00,1,295.2,389,314,8.3e-5,82.9,-2.58,-2.5,0.014079999,97881.7,98
2020-05-17 00:00:00,1,294.30002,395,355,3.12e-4,88.200005,3.07,0.5,0.01418,97838.9,97
2020-05-17 06:00:00,1,289,367,6,2.2e-5,94.5,0.63,1.3,0.01084,97924.766,96
2020-05-17 12:00:00,1,289,347,4,0,96.700005,-2.62,0.03,0.01107,98063.21,88
2020-05-17 18:00:00,1,295.6,373,450,1.9e-5,75.5,-2.5,-2.33,0.01308,98210.73,93
2020-05-18 00:00:00,1,296.4,382,596,4.1e-5,75.8,-1.56,-2.47,0.01383,98109.875,76
2020-05-18 06:00:00,1,290.4,359,15,5.8999998e-5,93.6,-0.45,-3.04,0.01174,98309.62,93
2020-05-18 12:00:00,1,289.1,341,6,0,97.1,0.03,-2.97,0.0112,98388.24,42
2020-05-18 18:00:00,1,297.4,370,544,3e-6,71.9,1.06,-3.52,0.0139,98357.45,46
2020-05-19 00:00:00,1,297.6,397,544,5.7e-5,76.8,2.1599998,-2.57,0.01505,98077.305,53
2020-05-19 06:00:00,1,292.30002,373,18,1.44e-4,94.3,2.31,-3.02,0.01339,98079.914,64
2020-05-19 12:00:00,1,291.4,360,4,8.8e-5,96.3,3.75,-1.78,0.01286,97975.71,63
2020-05-19 18:00:00,1,297.2,389,275,2.8e-4,86.9,6.6299996,-0.89,0.01668,97830.125,98
2020-05-20 00:00:00,1,299.1,409,556,8e-5,81.9,6.93,0.51,0.017749999,97474.31,57
2020-05-20 06:00:00,1,295.5,386,18,0,89.700005,8.349999,0.59,0.01567,97306.77,34
2020-05-20 12:00:00,1,293.5,375,3,2.3599999e-4,95.700005,5.62,1.38,0.01476,97316,70
2020-05-20 18:00:00,1,297.6,388,235,9.6e-5,77.6,4.89,5.2,0.0154099995,97245.82,98
2020-05-21 00:00:00,1,297.4,394,595,3.76e-4,85,1.55,1.12,0.01667,97201.95,78
2020-05-21 06:00:00,1,293.1,388,5,3.8e-5,93.6,1.56,2.06,0.0139999995,97256.45,97
2020-05-21 12:00:00,1,292.1,363,6,1.37e-4,94.8,-2.08,-0.53999996,0.01339,97342.91,90
2020-05-21 18:00:00,1,300.4,365,622,1e-5,57,-1.52,-1.55,0.01335,97493.18,19
2020-05-22 00:00:00,1,300.7,381,697,0,59.2,-2.37,-0.31,0.01402,97440.64,10
2020-05-22 06:00:00,1,287.7,364,19,2.07e-4,92.8,-7.77,2.35,0.00983,97936.21,70
2020-05-22 12:00:00,1,283.1,309,7,1e-6,90.9,-5.18,4.0299997,0.00709,98145.37,25
