forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-07 12:00:00,1,273.80002,9999e17,9999e17,9999e17,75.4,-3.48,0.59,0.00314,95733.38,9999e17
2020-05-07 18:00:00,1,280.7,225,663,0,27.9,-4.81,2.3799999,0.0018999999,95676.4,0
2020-05-08 00:00:00,1,279.5,229,649,0,31.7,-4.22,2.19,0.00198,95555.29,17
2020-05-08 06:00:00,1,270.9,232,11,0,71.8,-2.77,-0.95,0.00242,95772.49,56
2020-05-08 12:00:00,1,269.4,221,12,4e-6,54.2,-5.56,-0.32,0.0016099999,95948.695,37
2020-05-08 18:00:00,1,274.6,232,609,8e-6,29,-5.66,1.22,0.00128,95986.73,74
2020-05-09 00:00:00,1,275.9,212,652,0,29.4,-4.4,1.5899999,0.00142,95934.445,14
2020-05-09 06:00:00,1,270.30002,220,11,0,48.9,-0.87,1.7199999,0.00156,95984.83,28
2020-05-09 12:00:00,1,272,212,17,0,49.2,-1.06,2.08,0.00179,96035.664,6
2020-05-09 18:00:00,1,282.1,240,610,0,24.7,-3.84,3.11,0.00182,95948.5,70
2020-05-10 00:00:00,1,280.4,254,612,0,38.2,-1.79,1.61,0.0025499999,95827.53,59
2020-05-10 06:00:00,1,274.7,290,9,1.8e-5,53.7,1.4499999,-1.3399999,0.00238,95780.336,89
2020-05-10 12:00:00,1,274.5,294,9,3.8e-5,61,-1.4399999,-1.9699999,0.00268,95794.37,92
2020-05-10 18:00:00,1,279.4,282,489,1.4e-5,51.100002,-5.04,-0.57,0.00317,95877.99,94
2020-05-11 00:00:00,1,277.2,263,567,2e-6,49.100002,-3.99,-0.39,0.0026,95977.2,67
2020-05-11 06:00:00,1,268.2,223,13,0,77.200005,0.21,-1.25,0.0020899998,96104.44,17
2020-05-11 12:00:00,1,270.7,213,18,0,62,-1.18,-1.5799999,0.00204,96266.7,19
2020-05-11 18:00:00,1,280.6,218,675,0,25.4,-2.97,1.9699999,0.0016999999,96181.25,7
2020-05-12 00:00:00,1,280.2,232,659,0,36,-0.81,1.75,0.00236,95869.4,0
2020-05-12 06:00:00,1,272.1,224,15,0,64.5,0.65999997,3.79,0.00237,95748.54,0
2020-05-12 12:00:00,1,271.6,211,19,0,56.7,-1.12,4.52,0.00201,95702.27,0
2020-05-12 18:00:00,1,280.30002,222,673,0,27.6,-3.73,5.3399997,0.00182,95691.74,1
2020-05-13 00:00:00,1,280.5,235,658,0,35.600002,-2.55,3.05,0.00237,95743.15,5
2020-05-13 06:00:00,1,272.2,229,15,0,62.100002,-0.28,2.3999999,0.0023,95951.87,1
2020-05-13 12:00:00,1,273.9,225,19,0,61.600002,-1.01,1.37,0.00257,96153.29,0
2020-05-13 18:00:00,1,286.4,244,666,0,30.9,-1.8299999,0.55,0.00305,96053.24,17
2020-05-14 00:00:00,1,284.5,270,621,0,45,-2.29,-1.0699999,0.00395,95943.31,75
2020-05-14 06:00:00,1,275.30002,253,13,0,77.6,0.26,-2.48,0.00357,95997.52,34
2020-05-14 12:00:00,1,277.1,271,15,0,70.700005,1.61,-1.81,0.00373,96006.055,61
2020-05-14 18:00:00,1,288.5,270,643,0,33.7,3.59,-2.57,0.00384,95830.78,23
2020-05-15 00:00:00,1,280.9,326,257,1.89e-4,92.9,1.37,-1.9,0.0063699996,95698.65,93
2020-05-15 06:00:00,1,277.6,323,3,8.7e-5,95.4,-0.59,-2.4099998,0.00523,95589.15,97
