forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-03 12:00:00,1,289.7,9999e17,9999e17,9999e17,75.700005,2.49,2.1399999,0.00911,97994.83,9999e17
2020-05-03 18:00:00,1,299.4,342,700,0,48.7,3.35,3.58,0.01067,97614.555,1
2020-05-04 00:00:00,1,295.21,361,571,0,72.1,2.27,1.78,0.012329999,97349.81,2
2020-05-04 06:00:00,1,290.4,381,1,1.89e-4,97.6,-0.26,1.24,0.01237,97457.44,78
2020-05-04 12:00:00,1,287.7,368,16,1.89e-4,96.700005,-2.32,-0.22999999,0.01031,97637.49,84
2020-05-04 18:00:00,1,295.6,319,706,0,38.9,-2.3,-1.61,0.00676,97696.15,4
2020-05-05 00:00:00,1,290.2,318,587,0,68.4,-1.02,-1.23,0.00852,97670.06,20
2020-05-05 06:00:00,1,285.4,325,1,4e-6,75,-0.51,-0.69,0.00683,97473.74,90
2020-05-05 12:00:00,1,288,350,11,2.91e-4,94.4,0.58,-0.38,0.01022,97428.39,95
2020-05-05 18:00:00,1,297.2,369,514,1.6e-5,67.5,3.59,5.2,0.01306,97216.03,88
2020-05-06 00:00:00,1,292.72012,396,354,4.24e-4,92.200005,0.03,3.9099998,0.01347,97039.06,96
2020-05-06 06:00:00,1,287.9,371,0,5.94e-4,97.3,-1.38,1.48,0.01047,97340.85,93
2020-05-06 12:00:00,1,284.2,354,9,9e-6,96.1,-1.64,1.12,0.00806,97594.516,87
2020-05-06 18:00:00,1,291.7,295,701,1e-6,40.600002,-2.83,2.97,0.00557,97618.625,17
2020-05-07 00:00:00,1,286,313,530,5.7e-5,83.3,-1.13,2.48,0.0079,97578.14,26
2020-05-07 06:00:00,1,281,282,1,6.5e-5,96.8,0.24,2.09,0.00659,97656.46,1
2020-05-07 12:00:00,1,282,313,5,8e-6,95.700005,-1.03,1.65,0.0069299997,97863.49,52
2020-05-07 18:00:00,1,286.4,333,365,1.8e-5,59.4,-2.1699998,3.33,0.00575,98076.71,81
2020-05-08 00:00:00,1,285.30002,287,586,1e-6,68.200005,-1.56,1.04,0.00618,97993.18,17
2020-05-08 06:00:00,1,280.1,298,1,0,84,-1.4599999,-0.45,0.00533,98096.734,95
2020-05-08 12:00:00,1,280.80002,276,19,0,75.9,-0.68,-1.17,0.00505,98217.18,36
2020-05-08 18:00:00,1,288.6,303,571,1e-6,42.4,-1.89,1.48,0.0047299997,98095.66,61
2020-05-09 00:00:00,1,282.9,330,274,2.5e-5,91.1,0.17,0.59999996,0.0069899997,97999.49,98
2020-05-09 06:00:00,1,279.4,302,1,6e-6,95.5,-0.96999997,-0.69,0.0058,97911.06,65
2020-05-09 12:00:00,1,280.2,268,20,0,92.200005,-1.3,-0.03,0.00587,98064.62,2
2020-05-09 18:00:00,1,289.9,281,724,1e-6,44.5,-3.7099998,0.41,0.00543,98110.06,7
2020-05-10 00:00:00,1,284.80002,309,418,0,68.700005,-1.5999999,-0.57,0.00598,98159.875,33
2020-05-10 06:00:00,1,276.4,257,2,0,70.4,-1.41,-1.16,0.0034299998,98343.734,0
2020-05-10 12:00:00,1,277.7,238,22,0,58.2,-0.56,-1.2099999,0.00311,98487.21,0
2020-05-10 18:00:00,1,292.1,260,759,0,31.6,-0.17,1.35,0.0044199997,98219.46,0
2020-05-11 00:00:00,1,286,287,614,0,64.6,1.37,0.56,0.00612,97917.305,0
2020-05-11 06:00:00,1,281.7,277,2,0,66.700005,2.98,0.89,0.0047299997,97697.68,4
2020-05-11 12:00:00,1,281.30002,330,3,4e-5,87.4,-2.04,5.22,0.00604,97916.99,73
2020-05-11 18:00:00,1,284.4,324,358,1.5e-5,51.9,-2.69,1.5,0.00444,97491.85,84
2020-05-12 00:00:00,1,283.4,289,543,2e-6,65.3,-1.1999999,0.82,0.0052199997,97426.43,30
2020-05-12 06:00:00,1,274.30002,266,2,0,86.8,0.53,1.14,0.0036799998,97590.97,18
2020-05-12 12:00:00,1,278.2,250,22,0,79.9,0.48999998,1.5899999,0.00445,97757.25,2
2020-05-12 18:00:00,1,287,257,758,0,35.600002,-2.05,2.61,0.0036,97766.266,1
2020-05-13 00:00:00,1,283.30002,267,623,0,63.600002,-1.2099999,0.83,0.00502,97741.31,0
2020-05-13 06:00:00,1,272.30002,251,2,0,87.200005,-0.099999994,-0.38,0.0031899998,97902.17,0
2020-05-13 12:00:00,1,280.6,249,23,0,73.6,0.88,-0.48999998,0.00484,98038.54,0
2020-05-13 18:00:00,1,294.5,278,751,0,30.5,1.27,0.47,0.00494,97949.76,0
2020-05-14 00:00:00,1,288.6,302,611,0,64.5,1.61,1.0799999,0.0072399997,97698.87,1
2020-05-14 06:00:00,1,281.2,291,2,0,81.200005,1.9499999,-0.11,0.00561,97679.73,1
2020-05-14 12:00:00,1,282.1,284,23,0,80.9,1.8199999,0.04,0.00591,97809.586,1
2020-05-14 18:00:00,1,296.30002,310,733,0,40.2,3.09,3.61,0.00731,97604.43,1
2020-05-15 00:00:00,1,292.4,336,599,0,71.6,1.7199999,1.17,0.01029,97341.484,2
2020-05-15 06:00:00,1,285.5,316,2,0,91.4,1.93,0.07,0.00844,97408.49,1
2020-05-15 12:00:00,1,287,312,22,0,87.700005,1.6899999,-0.21,0.00889,97361.52,2
2020-05-15 18:00:00,1,299.4,344,714,0,47.3,2.6499999,2.79,0.01047,97183.22,9
2020-05-16 00:00:00,1,294.5,359,572,0,72.3,2,0.66999996,0.01193,96877.836,19
2020-05-16 06:00:00,1,288.1,332,2,0,93,1.92,-0.48,0.010179999,96795.53,3
2020-05-16 12:00:00,1,289.6,338,18,3e-6,92.5,1.4699999,-0.56,0.011179999,96673.125,44
2020-05-16 18:00:00,1,294.7,373,455,1.28e-4,88.700005,1.8499999,-0.12,0.01481,96330.625,70
2020-05-17 00:00:00,1,292.2,396,190,1.86e-4,96.1,-1.4,1.5,0.013719999,96292.8,94
2020-05-17 06:00:00,1,285.4,373,1,3e-5,95.8,-2.46,0.84,0.00883,96752.77,87
2020-05-17 12:00:00,1,281.1,323,23,6e-6,96.200005,-2.1499999,-0.21,0.00661,97052.4,61
2020-05-17 18:00:00,1,291,289,688,1e-6,44.3,-2.47,-1.13,0.0058299997,97068.625,48
2020-05-18 00:00:00,1,288.4,295,620,0,67.4,-1.51,-0.9,0.00752,97020.65,33
2020-05-18 06:00:00,1,281.30002,281,3,0,76.5,-0.66999996,-1.56,0.0053399997,97009.99,17
2020-05-18 12:00:00,1,284.6,294,23,0,76.6,0.69,-1.09,0.0067,97078.06,22
2020-05-18 18:00:00,1,297.80002,331,711,0,47.600002,3.47,1.0699999,0.00957,96977.44,24
2020-05-19 00:00:00,1,292.9,372,487,4.7e-5,80.5,2.54,-0.79999995,0.01191,96814.336,59
2020-05-19 06:00:00,1,287.5,363,2,3.53e-4,97.3,2.4099998,-0.61,0.010319999,96745.68,83
2020-05-19 12:00:00,1,288.6,365,10,1.21e-4,99,1.67,-0.35999998,0.01126,96575.02,98
2020-05-03 12:00:00,2,289.80002,9999e17,9999e17,9999e17,74.9,2.56,2.25,0.00902,98042.49,9999e17
2020-05-03 18:00:00,2,299.30002,341,700,0,49,3.3,3.6799998,0.01069,97638.43,2
2020-05-04 00:00:00,2,295.3,363,569,0,74.6,1.88,1.9,0.012809999,97403.81,3
2020-05-04 06:00:00,2,290.9,391,1,3.14e-4,97.4,-0.7,0.62,0.012709999,97490.516,78
2020-05-04 12:00:00,2,288.6,359,14,7.4999996e-5,97.8,-2.07,-0.14,0.010989999,97601.766,93
2020-05-04 18:00:00,2,297.4,347,654,1e-6,46.100002,-1.68,-0.93,0.008979999,97616.56,29
2020-05-05 00:00:00,2,291.6,339,571,0,69.1,-0.95,-1.52,0.009459999,97559.83,46
2020-05-05 06:00:00,2,286.9,334,1,1.2e-5,80.200005,0.78999996,-0.44,0.00809,97364.89,82
2020-05-05 12:00:00,2,289.5,361,10,2.92e-4,98.3,1.9,-0.02,0.01182,97184.87,99
2020-05-05 18:00:00,2,296.30002,380,439,6e-6,74,2.44,5.14,0.01353,97057.81,84
2020-05-06 00:00:00,2,293.1,399,205,7e-5,87.700005,-1.12,2.8899999,0.01318,97068.44,80
2020-05-06 06:00:00,2,285.7,344,1,3e-6,87.4,-2.6,1.63,0.008119999,97498.32,46
2020-05-06 12:00:00,2,280.4,338,8,6e-6,83.8,-2.8999999,0.52,0.00545,97831.54,79
2020-05-06 18:00:00,2,288.5,293,642,2e-6,43.600002,-3.31,1.11,0.0048599998,97872.766,37
2020-05-07 00:00:00,2,284.5,288,588,1e-5,73.700005,-1.51,1.02,0.0063,97877.086,10
2020-05-07 06:00:00,2,279.7,277,1,3e-6,88.1,-1.4,-0.65,0.00543,97964.46,13
2020-05-07 12:00:00,2,279.5,284,20,1e-6,85.6,-1.26,-0.01,0.0052,98295.52,38
2020-05-07 18:00:00,2,289.80002,264,746,0,35.8,-2.22,1.54,0.00432,98222.11,0
2020-05-08 00:00:00,2,286.2,298,588,0,69.9,-0.95,1.16,0.0066899997,98186.87,25
2020-05-08 06:00:00,2,278,271,2,0,89.8,1.15,0.68,0.00493,98119.08,3
