forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-25 06:00:00,1,268.4,9999e17,9999e17,9999e17,87.5,-0.25,2.12,0.00323,71354.17,9999e17
2020-04-25 12:00:00,1,268.80002,249,0,3.2e-5,93.200005,0.39,2.3999999,0.00357,71339.81,91
2020-04-25 18:00:00,1,275.6,229,474,2.8e-5,69.200005,-0.55,4.1,0.00433,71477.4,45
2020-04-26 00:00:00,1,276.4,226,793,1.3e-5,68.200005,-0.34,4.11,0.0045499997,71516.02,32
2020-04-26 06:00:00,1,270.7,223,44,0,81,1.8299999,1.54,0.0036,71492.73,72
2020-04-26 12:00:00,1,270.30002,220,0,0,84.5,1.54,2.29,0.0036499999,71371.96,56
2020-04-26 18:00:00,1,281.2,234,482,3e-6,56.3,0.089999996,5.1099997,0.00525,71372.35,71
2020-04-27 00:00:00,1,278.19,288,511,7.4999996e-5,72.200005,0.52,3.62,0.0055199997,71352.34,86
2020-04-27 06:00:00,1,271.2,226,44,0,90.200005,0.82,1.62,0.00416,71432.34,9
2020-04-27 12:00:00,1,271,218,0,0,88.1,1.16,1.56,0.00399,71365.125,0
2020-04-27 18:00:00,1,283.30002,227,520,0,42.9,-0.22,4.8199997,0.00466,71413.68,0
2020-04-28 00:00:00,1,282.29,246,807,8e-6,52.5,-0.83,4.24,0.00531,71365.125,5
2020-04-28 06:00:00,1,274.87,248,46,0,84.3,1.35,2.48,0.0050899996,71413.86,72
2020-04-28 12:00:00,1,272.4,233,0,0,91.8,0.02,2.69,0.00466,71487.8,33
2020-04-28 18:00:00,1,282.6,222,526,0,30,-1.4399999,4.87,0.00309,71672.266,1
2020-04-29 00:00:00,1,282.1,229,819,0,35.600002,-0.87,3.8799999,0.0035299999,71716.05,38
2020-04-29 06:00:00,1,271.6,217,47,0,55.7,1.09,1.4499999,0.00263,71871.18,23
2020-04-29 12:00:00,1,271.7,213,0,0,40.4,0.44,1.86,0.00191,71737.04,0
2020-04-29 18:00:00,1,287.25,234,523,0,27.5,-0.03,3.05,0.00384,71718.375,22
2020-04-30 00:00:00,1,286.25,258,809,0,38.4,-0.24,4.43,0.0050299997,71576.56,15
2020-04-30 06:00:00,1,275.88998,247,47,0,72.9,1.31,1.8499999,0.00472,71530.65,31
2020-04-30 12:00:00,1,275.1,246,0,0,68.5,1.74,1.74,0.00421,71337.08,67
2020-04-30 18:00:00,1,288.6,251,496,0,24.4,1.23,5.47,0.0037399998,71286.7,75
2020-05-01 00:00:00,1,287.33,272,754,0,28.4,1.3199999,6.2599998,0.00402,71150.1,73
2020-05-01 06:00:00,1,277.6,249,43,0,54.100002,1.61,2.57,0.00396,71186.74,39
2020-05-01 12:00:00,1,274.6,237,0,0,58.3,1.29,1.74,0.00345,71215.375,47
2020-05-01 18:00:00,1,288.7,243,526,0,22.9,1.93,2.72,0.0035599999,71273.76,10
2020-05-02 00:00:00,1,287.2,266,789,3.3e-5,28.300001,1.88,4.5099998,0.00397,71166.07,28
2020-05-02 06:00:00,1,276.1,241,51,5e-6,54.8,1.81,-0.84,0.0035899999,71168.51,4
2020-05-02 12:00:00,1,274.1,228,0,0,56.9,2.07,1.48,0.0032499998000000002,71044.27,2
2020-05-02 18:00:00,1,285.9,236,532,0,27.4,2.1499999,7.5499997,0.00355,71041.2,11
2020-05-03 00:00:00,1,282.9,290,705,4e-6,36.8,-0.07,7.39,0.00392,71038.95,74
2020-05-03 06:00:00,1,274.1,232,50,0,79.200005,0.48,2.96,0.00452,71171.74,6
2020-05-03 12:00:00,1,271.1,217,0,0,84.200005,0.96,1.64,0.00388,70931.375,2
2020-05-03 18:00:00,1,285.7,219,544,0,19.5,2.3,2.6,0.0025,70788.44,2
2020-05-04 00:00:00,1,284.80002,270,717,4.6e-5,29.7,1.4699999,4.41,0.00358,70530.58,79
2020-05-04 06:00:00,1,273.9,240,42,2.8e-5,59.7,1.65,1.67,0.00339,70415.4,44
2020-05-04 12:00:00,1,270.7,210,0,0,55.5,0.53,2.96,0.00251,70344.96,4
2020-05-04 18:00:00,1,281.1,228,501,4e-6,25.2,1.9499999,6.5099998,0.0023999999,70287.21,28
2020-05-05 00:00:00,1,278.2,263,691,5.8e-5,44,0.59,6.91,0.00342,70338.55,77
2020-05-05 06:00:00,1,268.4,209,50,5e-6,77.5,-0.17,2.27,0.00291,70678.87,16
2020-05-05 12:00:00,1,267,211,0,7e-6,85.8,0.81,2.85,0.00286,70799.664,49
2020-05-05 18:00:00,1,276.7,203,539,8e-6,25.300001,-1.36,8.51,0.0017499999,70966.48,22
2020-05-06 00:00:00,1,278,200,855,0,26.1,-1.43,8.11,0.00198,71204.68,2
2020-05-06 06:00:00,1,269.80002,199,56,0,52.5,1.36,2.75,0.00216,71513.18,0
2020-05-06 12:00:00,1,268.4,193,0,0,49.100002,1.26,1.9399999,0.0018099999,71660.414,0
2020-05-06 18:00:00,1,285.9,207,560,0,11.400001,-0.14,2.78,0.00147,71726.46,0
2020-05-07 00:00:00,1,287.5,234,846,0,17.1,-0.75,2.45,0.00244,71642.945,6
2020-05-07 06:00:00,1,273.4,231,50,0,43.600002,0.78999996,1.89,0.00237,71688.445,42
2020-05-07 12:00:00,1,272.2,213,0,0,39,1.5999999,1.24,0.0019299999,71535.586,0
2020-05-07 18:00:00,1,291.7,226,561,0,9.7,2.23,3.78,0.0018099999,71448.51,26
2020-05-08 00:00:00,1,290.30002,275,736,0,16.4,-0.049999997,5.29,0.0028199998,71152.09,82
2020-05-08 06:00:00,1,280.5,297,32,1e-6,38.4,1.3199999,1.52,0.0034899998,70990.43,94
2020-05-08 12:00:00,1,276.6,288,0,7e-6,59.5,1.42,2.06,0.00413,70758.59,86
2020-05-08 18:00:00,1,288.6,244,546,0,17.6,2.69,9.95,0.00274,70623,20
2020-05-09 00:00:00,1,287.5,243,846,0,14.6,0.69,10.44,0.00211,70652.43,13
2020-05-09 06:00:00,1,274.9,221,58,0,38.7,0.61,2.9099998,0.00238,70836.04,3
2020-05-09 12:00:00,1,270.9,204,0,0,48.4,0.64,2.77,0.0022099998,70922.83,29
2020-05-09 18:00:00,1,286.2,212,563,0,13.1,0.22999999,3.55,0.0017499999,71051.52,8
2020-05-10 00:00:00,1,286.2,243,821,0,16.9,-1.61,2.32,0.0022399998,71076.23,23
2020-05-10 06:00:00,1,272.9,234,52,0,57.5,-0.26,-1.5699999,0.0030099999,71331.664,24
2020-05-10 12:00:00,1,271.6,222,0,0,67,2.09,-0.39,0.0031899998,71332.31,52
2020-05-10 18:00:00,1,289.1,244,512,0,15.7,0.34,2.53,0.00248,71403.49,61
2020-05-11 00:00:00,1,285.5,291,608,1.6e-5,28.9,-0.94,0.79999995,0.0036,71390.82,80
2020-05-11 06:00:00,1,275.2,267,34,7e-6,63.600002,1.5699999,1.27,0.0039399997,71472.72,69
2020-04-25 06:00:00,2,267.80002,9999e17,9999e17,9999e17,86.9,-0.19,2.25,0.00309,71313.99,9999e17
2020-04-25 12:00:00,2,268.2,241,0,1.5e-5,91.6,0.02,2.1599998,0.00335,71315.7,90
2020-04-25 18:00:00,2,275.5,230,467,2e-5,67,-0.48,4,0.00416,71450.2,47
2020-04-26 00:00:00,2,276.4,229,789,1.4e-5,67,-0.39,4.13,0.0044799997,71493.77,33
2020-04-26 06:00:00,2,270.9,223,45,0,80.5,1.87,1.5,0.00361,71468.4,72
2020-04-26 12:00:00,2,270.30002,222,0,0,82.8,1.62,2.28,0.00357,71348.336,61
2020-04-26 18:00:00,2,280.80002,237,480,3e-6,57.9,-0.17,5.29,0.00527,71378.516,69
2020-04-27 00:00:00,2,279.4,282,591,4.5e-5,66.4,0.19999999,3.8799999,0.0055299997,71326.83,78
2020-04-27 06:00:00,2,271.6,230,41,0,90.200005,1.02,1.5899999,0.00429,71398.35,15
2020-04-27 12:00:00,2,271.4,222,0,0,89.8,1.23,1.5899999,0.00422,71333.46,0
2020-04-27 18:00:00,2,283.80002,230,519,0,41.7,-0.29999998,4.5699997,0.0046699997,71380.93,0
2020-04-28 00:00:00,2,282.38,249,803,1.5e-5,53.7,-0.52,4.41,0.0054599997,71315.875,8
2020-04-28 06:00:00,2,274.82,254,45,2e-6,86.6,0.71,2.46,0.00521,71358.02,64
2020-04-28 12:00:00,2,272.4,235,0,0,93.4,0.25,2.8,0.00471,71397.76,42
2020-04-28 18:00:00,2,281.7,218,529,0,31.800001,-1.61,6.3599997,0.0030699999,71571.32,2
2020-04-29 00:00:00,2,281.30002,225,826,0,39,-1.29,4.54,0.00366,71615.6,5
2020-04-29 06:00:00,2,272,218,48,0,63.8,2.1499999,1.3199999,0.00311,71781.305,20
2020-04-29 12:00:00,2,271.4,214,0,0,45.3,0.13,1.99,0.0021199998,71663.77,15
2020-04-29 18:00:00,2,286.7,232,522,0,26.4,-0.59999996,3.12,0.00354,71662.9,29
2020-04-30 00:00:00,2,286.1,255,806,0,35.2,-0.44,3.75,0.00457,71536,41
2020-04-30 06:00:00,2,275.96,248,46,0,73.1,1.0699999,2.1299999,0.00476,71508.25,55
2020-04-30 12:00:00,2,275.4,245,0,0,68.9,1.7099999,2.02,0.00433,71385.77,63
2020-04-30 18:00:00,2,287.97998,251,510,0,28.4,-0.72999996,4.7,0.00419,71422.875,67
2020-05-01 00:00:00,2,287.91998,266,794,3e-6,30.4,0.7,3.4099998,0.0044799997,71327.99,62
2020-05-01 06:00:00,2,277.22,258,44,6e-6,62.8,1.91,0.06,0.0044799997,71314.12,60
2020-05-01 12:00:00,2,276.5,256,0,0,62.4,2.2,1.49,0.0042499998,71104.74,83
2020-05-01 18:00:00,2,288.1,245,526,0,22.4,1.2099999,6.74,0.00335,71071.12,27
