forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-09 18:00:00,1,274.6,9999e17,9999e17,9999e17,93.4,-7.7,-7.46,0.00413,95593.73,9999e17
2020-05-10 00:00:00,1,275.7,295,322,1.05e-4,72.200005,-9.559999,1,0.00342,96210.54,88
2020-05-10 06:00:00,1,272.30002,228,32,0,87.6,-5.5699997,3.61,0.00324,96472.85,30
2020-05-10 12:00:00,1,271,217,5,0,84.8,-5.5699997,1.6899999,0.0028499998,96656.2,3
2020-05-10 18:00:00,1,275.4,255,498,1e-5,65.8,-7.3999996,0.93,0.0030399999,96790.625,53
2020-05-11 00:00:00,1,276.2,254,687,4e-6,59.5,-6.71,0.71999997,0.0029199999,96724.45,43
2020-05-11 06:00:00,1,271.7,222,40,0,81.5,-3.11,2.32,0.00289,96733.7,0
2020-05-11 12:00:00,1,270.80002,214,6,0,69.700005,-2.59,0.07,0.00231,96684.266,0
2020-05-11 18:00:00,1,278.1,217,610,0,29.800001,-5.08,0.53,0.00168,96531.805,0
2020-05-12 00:00:00,1,278.4,228,748,0,36.9,-4.52,-0.35,0.0021199998,96251.04,0
2020-05-12 06:00:00,1,271.80002,217,42,0,54.100002,-2.1299999,-0.48999998,0.00194,96288.53,0
2020-05-12 12:00:00,1,272.2,210,6,0,56.8,-0.19999999,-0.34,0.00211,96224.875,3
2020-05-12 18:00:00,1,280.5,223,609,0,28.7,1.61,-2.47,0.00191,96102.37,38
2020-05-13 00:00:00,1,281.96,265,676,0,37.100002,2.78,-2.81,0.00274,95763.25,69
2020-05-13 06:00:00,1,276.4,279,27,0,56.5,2.21,-3.8,0.0028499998,95642.54,68
2020-05-13 12:00:00,1,276.6,309,1,1.2e-5,65.5,4.64,-6.75,0.0033399998,95328.664,96
2020-05-13 18:00:00,1,277.30002,316,147,3.03e-4,87.8,7.5099998,-6.74,0.0047299997,94926.75,98
2020-05-14 00:00:00,1,283.46,340,139,9.7e-5,90.5,6.74,-1.5799999,0.0074899998,94463.15,99
2020-05-14 06:00:00,1,279.4,322,4,8.9e-5,95.1,-2.99,4.64,0.00594,94623.914,55
2020-05-14 12:00:00,1,276,254,6,0,93.5,-2.11,3.31,0.0046099997,94931.96,6
2020-05-14 18:00:00,1,285.1,278,533,0,62.2,-3.98,2.86,0.00573,95112.766,70
2020-05-15 00:00:00,1,287.30002,303,640,0,57.2,-3.52,0.35,0.0060799997,95218.164,62
2020-05-15 06:00:00,1,280.1,279,40,0,81.8,-0.42999998,-2.1599998,0.0053399997,95496.555,3
2020-05-15 12:00:00,1,280.6,276,5,0,78.5,1.7199999,-1.54,0.00529,95684.71,12
2020-05-15 18:00:00,1,288.9,310,508,0,52.7,0.91999996,-3.01,0.00617,95666.664,85
2020-05-16 00:00:00,1,288.5,325,516,0,59.7,2.27,-2.81,0.00682,95569.62,98
2020-05-16 06:00:00,1,282.1,303,23,0,70.9,0.25,-1.35,0.00532,95599.65,94
2020-05-16 12:00:00,1,282.7,306,4,0,69.8,-1.31,-0.9,0.0054099998,95648.59,94
2020-05-16 18:00:00,1,290.30002,321,428,0,43.7,-2.1699998,-1.06,0.00557,95682.086,88
2020-05-17 00:00:00,1,292,316,694,0,40.2,-0.76,-1.0699999,0.00572,95562.78,38
2020-05-17 06:00:00,1,284.9,297,41,0,61,3.1,-0.63,0.0054699997,95654.81,3
2020-05-17 12:00:00,1,283.5,286,7,0,74,2.34,1.9799999,0.00605,95625.5,0
2020-05-17 18:00:00,1,293.30002,301,591,0,45.3,5.8399997,-0.29,0.00701,95540.69,0
2020-05-18 00:00:00,1,293.5,321,717,0,49.3,6.16,-1.9499999,0.0077299997,95315.19,4
2020-05-18 06:00:00,1,286.6,310,41,0,83.1,4.4,-2.44,0.00839,95250.56,3
2020-05-18 12:00:00,1,284.7,299,7,0,87,5.31,-3.3799999,0.0077799996,95132.875,8
2020-05-18 18:00:00,1,293.2,313,576,0,57.7,8.139999,-8.679999,0.00893,94806.71,27
