forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-29 00:00:00,1,289.5,9999e17,9999e17,9999e17,46.9,-0.35,1.93,0.0058999998,92605.19,9999e17
2020-04-29 06:00:00,1,281.1,289,120,0,82.200005,-0.95,-1.63,0.00593,92426.23,44
2020-04-29 12:00:00,1,281.30002,287,0,0,82.5,-0.42999998,-2.1,0.00604,91989.375,71
2020-04-29 18:00:00,1,289.5,313,243,0,62.5,2.59,1.77,0.00791,91923.98,95
2020-04-30 00:00:00,1,286.35,341,525,1.6e-5,78.4,1.8399999,3.53,0.0080699995,91985.82,90
2020-04-30 06:00:00,1,281.63998,349,32,1.28e-4,96.8,0.91999996,2.8,0.00727,92129.19,95
2020-04-30 12:00:00,1,278.1,332,0,3.4e-5,97.1,0.17,2.18,0.00572,92143.83,95
2020-04-30 18:00:00,1,280.53,312,195,2.4e-5,80.200005,0.68,2.71,0.00556,92219.92,88
2020-05-01 00:00:00,1,282.41,286,677,3.1e-5,63,-0.58,3.53,0.00496,92187.25,58
2020-05-01 06:00:00,1,274.62,251,123,5e-6,96.5,-1.04,1.16,0.0044199997,92334.87,14
2020-05-01 12:00:00,1,273.1,232,0,0,96.3,-1.42,-1.02,0.00396,92192.664,6
2020-05-01 18:00:00,1,284.7,235,346,0,34,1.9399999,-0.22,0.00314,92111.5,26
2020-05-02 00:00:00,1,287.41,270,809,0,34.7,1.68,2.81,0.00382,92038.62,49
2020-05-02 06:00:00,1,277.9,314,94,6.3e-5,96.9,0.95,-0.35999998,0.0056399996,92256.336,80
2020-05-02 12:00:00,1,276.80002,272,0,0,98.200005,-0.04,-1.64,0.0053,92056.46,58
2020-05-02 18:00:00,1,287.6,278,312,1e-6,52.2,3.1999998,-0.74,0.00585,91909.766,75
2020-05-03 00:00:00,1,286.15,307,721,3.7e-5,68,2.57,3.25,0.0069,91801.62,63
2020-05-03 06:00:00,1,279.2,337,37,2.38e-4,97.1,0.9,2.47,0.00618,92127.29,90
2020-05-03 12:00:00,1,275.4,313,0,1.7e-5,97,0.28,1.8199999,0.00474,92228.58,84
2020-05-03 18:00:00,1,280.80002,263,335,5e-6,58.2,0.59999996,2.27,0.00411,92289.375,39
2020-05-04 00:00:00,1,281.52,255,825,4.5e-5,71.3,0.53,4.44,0.00527,92288.38,14
2020-05-04 06:00:00,1,275.7,282,106,7e-5,97.8,1.11,1.8199999,0.00484,92577.94,52
2020-05-04 12:00:00,1,273.7,301,0,9e-6,98.1,0.58,0.61,0.0042,92657.69,79
2020-05-04 18:00:00,1,281.9,270,316,1e-6,48.8,1.63,1.03,0.0036799998,92628.8,54
2020-05-05 00:00:00,1,285.80002,251,846,0,31,1.36,2.47,0.00305,92359.85,19
2020-05-05 06:00:00,1,276.4,279,128,2.4e-5,91.4,0.62,1.06,0.00475,92551.39,79
2020-05-05 12:00:00,1,275.6,311,0,6e-5,98.1,0.04,1.8199999,0.00481,92695.85,94
2020-05-05 18:00:00,1,280.1,312,169,1.1e-5,73.9,-0.57,1.9699999,0.0049,92914.69,84
2020-05-06 00:00:00,1,285.6,264,819,1e-6,44.600002,-1.5799999,2.31,0.00433,92766.875,9
2020-05-06 06:00:00,1,275.7,254,140,0,94,-2.02,-0.35999998,0.00462,92863.266,8
2020-05-06 12:00:00,1,273.4,236,0,0,78.200005,-1.66,-1.0799999,0.00326,92870.83,5
2020-05-06 18:00:00,1,287.6,239,364,0,33.4,0.049999997,0.57,0.00369,92932,0
2020-05-07 00:00:00,1,288.5,265,850,0,33.8,-1.27,2.05,0.00397,92860.97,0
2020-05-07 06:00:00,1,277.7,262,142,0,83.3,-1.99,-0.11,0.00471,93407.055,0
2020-05-07 12:00:00,1,275.30002,246,0,0,91.200005,-1.55,-0.9,0.00434,93433.58,0
2020-05-07 18:00:00,1,288.80002,249,367,0,37.4,-1.1999999,-0.35999998,0.00447,93397.4,0
2020-05-08 00:00:00,1,291,278,851,0,32.2,-2.2,1.06,0.00439,93193.33,1
2020-05-08 06:00:00,1,279.80002,269,144,0,76.9,-2.1399999,-0.66999996,0.0050399997,93267.664,0
2020-05-08 12:00:00,1,276.9,249,0,0,81.1,-1.17,-1.48,0.00434,93124.055,1
2020-05-08 18:00:00,1,287.6,262,359,5e-6,44.9,-0.47,-2.24,0.0049099997,93128.15,4
2020-05-09 00:00:00,1,288,306,691,6.1e-5,42.8,-0.53,-2.24,0.00483,93102.06,43
2020-05-09 06:00:00,1,278.6,272,136,1e-6,66.1,-0.58,-1.6999999,0.00398,93251.56,10
2020-05-09 12:00:00,1,276,245,0,0,66.5,-0.66999996,-1.81,0.00332,93255.8,1
2020-05-09 18:00:00,1,286.4,245,372,0,30.9,-0.22,-2.6,0.0031299999,93413.1,0
2020-05-10 00:00:00,1,288.9,260,862,0,23.5,0.21,-2.48,0.0028199998,93249.62,1
2020-05-10 06:00:00,1,277.6,253,149,0,51.8,-0.07,-1.65,0.00289,93286.875,0
2020-05-10 12:00:00,1,274.80002,236,0,0,59.9,-0.25,-1.68,0.00275,93113.19,1
2020-05-10 18:00:00,1,287.30002,244,367,0,26.6,0.69,-2.26,0.00288,92946.25,30
2020-05-11 00:00:00,1,291.1,285,788,0,22.300001,0.42999998,-0.37,0.00309,92631.77,66
2020-05-11 06:00:00,1,275.6,274,130,0,81.700005,-0.90999997,0.61,0.00398,92556.62,38
2020-05-11 12:00:00,1,274.6,251,0,0,88,-0.98999995,1.01,0.00404,92468.74,1
2020-05-11 18:00:00,1,286.7,254,371,0,43.9,0,2.31,0.00458,92456.58,1
2020-05-12 00:00:00,1,287,278,836,2e-6,43.7,-0.9,4.7999997,0.0046699997,92283.35,12
2020-05-12 06:00:00,1,278.30002,278,143,4e-6,86,-0.17999999,1.9799999,0.0050999997,92396.62,43
2020-05-12 12:00:00,1,276.7,313,0,2.3e-5,93.4,0.04,2.03,0.0049799997,92339.93,87
2020-05-12 18:00:00,1,278.9,314,124,6.2e-5,87.8,0.14,2.1399999,0.00543,92351.21,95
2020-05-13 00:00:00,1,280.4,324,285,7.9e-5,88.6,0.14999999,2.1599998,0.00606,92372.414,96
