forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-13 00:00:00,1,279.44,9999e17,9999e17,9999e17,66.1,3.4199998,5.0499997,0.0052,75580.72,9999e17
2020-05-13 06:00:00,1,273.82,276,61,2.6e-5,86.700005,1.9399999,0.71,0.00458,75602.71,95
2020-05-13 12:00:00,1,271.6,277,0,5.4e-5,97.6,3.01,0.79999995,0.00438,75619.08,82
2020-05-13 18:00:00,1,277.6,260,361,6.1e-5,73.4,3.22,2.9099998,0.00507,75714.414,63
2020-05-14 00:00:00,1,277.96,290,534,1.82e-4,78.1,1.25,3.35,0.0055299997,75774.27,86
2020-05-14 06:00:00,1,273.1,291,46,1.54e-4,94.200005,0.97999996,-0.45,0.00471,75983.65,92
2020-05-14 12:00:00,1,272.2,293,0,1.9e-4,98.3,1.18,0.83,0.00458,76097.266,98
2020-05-14 18:00:00,1,275.7,301,237,6.9e-5,98.1,2.07,2.1299999,0.00587,76265.555,96
2020-05-15 00:00:00,1,279.1,282,628,2.9e-5,79.200005,2.48,0.31,0.0060699997,76178.64,85
2020-05-15 06:00:00,1,273.6,280,60,6.7e-5,94.5,2.81,-0.97999996,0.00489,76155.336,89
2020-05-15 12:00:00,1,272.5,284,0,9.7e-5,97.4,3.3799999,1.09,0.00464,76128.086,89
2020-05-15 18:00:00,1,277.30002,294,296,2.5e-5,87.6,2.06,2.76,0.0058899997,76203.52,87
2020-05-16 00:00:00,1,279,298,574,7e-5,76.8,-1,2.51,0.0058299997,76225.586,89
2020-05-16 06:00:00,1,269.5,242,69,3e-6,96.5,-0.52,0.72999996,0.0036499999,76443.51,32
2020-05-16 12:00:00,1,270,218,0,0,96,1.5999999,-0.089999996,0.00379,76475.1,4
2020-05-16 18:00:00,1,282.5,228,507,0,50.600002,2.59,1.65,0.0048499997,76459.5,3
2020-05-17 00:00:00,1,284.2,274,757,5e-6,48.2,2.81,2.04,0.00518,76431.12,66
2020-05-17 06:00:00,1,274.2,258,67,0,73.700005,3.03,-0.47,0.00397,76476.516,67
2020-05-17 12:00:00,1,274.30002,244,0,0,76.4,2.87,-1.48,0.00413,76432.625,53
2020-05-17 18:00:00,1,290.80002,271,464,0,32.3,5.93,1.6899999,0.00536,76386.63,68
2020-05-18 00:00:00,1,290.80002,293,796,0,32.2,6.25,1.6999999,0.00536,76290.83,67
2020-05-18 06:00:00,1,280,266,90,0,66.1,2.96,-2.21,0.00537,76190.21,48
2020-05-18 12:00:00,1,279.2,253,0,0,58.7,4.18,-1.12,0.00452,76097.37,51
2020-05-18 18:00:00,1,289.2,258,501,0,30.800001,7.87,2.78,0.00462,76107.85,48
2020-05-19 00:00:00,1,289.4,278,828,0,30.6,7.14,3.73,0.00465,76066.555,37
2020-05-19 06:00:00,1,278.80002,273,83,1e-6,65.8,0.5,-1.6899999,0.00494,75949.08,63
2020-05-19 12:00:00,1,273.9,249,0,1e-6,89.8,0.44,0.96999997,0.0047299997,75876.96,23
2020-05-19 18:00:00,1,285.9,250,503,4.6e-5,31.5,9.889999,4.42,0.00384,75676.6,12
2020-05-20 00:00:00,1,278.5,286,623,8.3e-5,62.9,1.55,4.5499997,0.00454,76108.016,66
2020-05-20 06:00:00,1,270.1,267,56,3.2e-5,95.4,0.83,-0.17,0.00379,76328.56,78
2020-05-20 12:00:00,1,270,222,0,0,89.1,1.99,-0.28,0.00348,76330.73,51
2020-05-20 18:00:00,1,280,262,358,8e-6,41,0.61,2.34,0.00332,76320.74,86
2020-05-21 00:00:00,1,280.30002,292,536,7.2e-5,49.2,0.37,2.32,0.00407,76358.04,90
2020-05-21 06:00:00,1,272.9,248,86,3.9e-5,79.1,1.78,0.91999996,0.00384,77238.24,44
2020-05-21 12:00:00,1,269.9,219,0,0,88.3,2.12,-0.55,0.0033999998,77267.414,3
2020-05-21 18:00:00,1,284.1,225,522,0,33.7,3.1499999,1.18,0.00355,77218.96,14
2020-05-22 00:00:00,1,287.2,249,862,0,26.300001,3.6299999,3.22,0.00342,77105.445,8
2020-05-22 06:00:00,1,275.6,243,102,0,57.5,1.9799999,-1.24,0.00339,77160.56,3
2020-05-22 12:00:00,1,274.1,230,0,0,57.100002,1.9599999,-1.4399999,0.00303,77018.65,0
2020-05-22 18:00:00,1,291.2,248,516,0,16,3.97,2.22,0.0026999998,76888.08,15
2020-05-23 00:00:00,1,291.2,290,756,0,17.9,3.01,3.3,0.0030099999,76682.516,72
2020-05-23 06:00:00,1,280.5,289,71,0,40.5,2.27,-0.32,0.00338,76673.24,80
2020-05-23 12:00:00,1,277,262,0,0,49.3,2.08,0.53,0.00324,76690.48,71
2020-05-23 18:00:00,1,288.6,258,500,4e-6,31.4,0.84999996,3.74,0.00447,76785,37
2020-05-24 00:00:00,1,286.4,273,831,1.97e-4,48.2,-0.87,3.58,0.00594,76898.23,54
2020-05-24 06:00:00,1,277.80002,269,96,5.8999998e-5,85,1.4699999,-1.4,0.00582,77168.266,38
2020-05-24 12:00:00,1,275.4,252,0,1.2e-5,84.8,1.78,-1.13,0.0049199997,77214.6,28
2020-05-24 18:00:00,1,286.80002,279,406,9.8e-5,53.7,0.88,1.9499999,0.00672,77294.21,63
2020-05-25 00:00:00,1,287,295,679,3.28e-4,55.2,-0.84999996,0.97999996,0.0070599997,77239.44,83
