PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=52 time=14.5 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=52 time=14.0 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=52 time=11.5 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=52 time=11.5 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=52 time=11.2 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=52 time=11.6 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=52 time=13.2 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=52 time=11.8 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=52 time=11.5 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=52 time=11.0 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=52 time=11.8 ms

--- 8.8.8.8 ping statistics ---
11 packets transmitted, 11 received, 0% packet loss, time 10016ms
rtt min/avg/max/mdev = 11.089/12.206/14.551/1.136 ms
